sekunde,poraba_kw
0,2.5
5,3.6
10,2.0
15,2.1
20,3.7
25,2.7
30,3.7
35,3.3
40,3.5
45,3.9
50,3.3
55,2.9
60,3.7
65,3.5
70,3.3
75,2.5
80,3.6
85,3.8
90,3.4
95,3.9
100,2.4
105,2.7
110,2.3
115,2.6
120,3.9
125,3.3
130,2.2
135,4.0
140,3.7
145,3.3
150,3.3
155,3.2
160,3.8
165,2.5
170,3.0
175,3.1
180,3.0
185,3.9
190,2.9
195,3.0
200,2.1
205,2.9
210,3.4
215,3.6
220,3.0
225,3.6
230,2.1
235,2.5
240,3.2
245,2.4
250,2.4
255,3.5
260,3.4
265,2.4
270,2.5
275,3.0
280,2.1
285,2.1
290,3.6
295,3.7
300,2.6
305,3.3
310,2.9
315,3.7
320,2.8
325,2.5
330,2.1
335,3.7
340,3.6
345,3.3
350,3.9
355,2.7
360,3.5
365,2.5
370,3.9
375,3.1
380,2.1
385,4.0
390,2.3
395,2.8
400,2.8
405,2.3
410,4.0
415,2.7
420,2.9
425,2.7
430,3.0
435,3.8
440,2.7
445,2.6
450,2.4
455,2.6
460,3.9
465,2.1
470,2.3
475,3.3
480,3.0
485,2.5
490,3.0
495,3.9
500,3.6
505,3.9
510,3.2
515,2.8
520,3.0
525,2.8
530,3.4
535,3.6
540,4.0
545,2.1
550,2.2
555,2.2
560,3.3
565,2.2
570,3.8
575,2.4
580,2.1
585,3.9
590,3.6
595,3.2
600,3.5
605,3.0
610,2.3
615,2.5
620,2.4
625,3.3
630,3.9
635,2.0
640,3.7
645,3.1
650,3.6
655,3.8
660,2.2
665,3.8
670,2.9
675,3.0
680,2.6
685,3.9
690,3.9
695,3.7
700,3.6
705,3.2
710,2.6
715,3.9
720,2.3
725,3.7
730,2.8
735,2.3
740,2.9
745,3.7
750,3.6
755,3.3
760,3.0
765,3.5
770,2.9
775,2.8
780,3.2
785,3.1
790,2.2
795,3.1
800,3.1
805,3.5
810,2.3
815,3.9
820,3.6
825,2.9
830,2.0
835,2.0
840,2.2
845,3.6
850,2.5
855,2.4
860,2.8
865,3.0
870,2.1
875,3.2
880,2.3
885,2.8
890,3.4
895,3.1
900,3.8
905,2.1
910,3.7
915,2.6
920,3.2
925,3.7
930,3.1
935,2.1
940,2.6
945,2.3
950,2.3
955,3.7
960,3.7
965,3.9
970,2.2
