sekunde,poraba_kw
0,3.4
5,2.3
10,3.6
15,3.2
20,2.8
25,4.0
30,4.0
35,2.6
40,2.3
45,3.2
50,3.8
55,3.8
60,2.9
65,2.3
70,2.7
75,2.2
80,3.3
85,3.0
90,2.6
95,2.1
100,3.4
105,3.5
110,3.3
115,2.9
120,2.9
125,3.6
130,2.0
135,3.7
140,2.5
145,2.7
150,3.7
155,2.3
160,2.6
165,2.7
170,3.0
175,3.0
180,4.0
185,2.6
190,2.8
195,2.7
200,3.3
205,3.3
210,3.0
215,3.6
220,3.8
225,3.6
230,3.6
235,2.3
240,2.3
245,2.9
250,2.4
255,3.1
260,3.3
265,2.1
270,3.7
275,3.6
280,2.8
285,2.2
290,2.2
295,3.5
300,3.2
305,3.2
310,3.7
315,2.6
320,2.1
325,2.8
330,2.1
335,3.3
340,3.4
345,3.6
350,3.6
355,2.3
360,3.4
365,3.4
370,2.3
375,2.0
380,3.3
385,3.2
390,3.2
395,3.0
400,3.8
405,2.9
410,3.8
415,2.7
420,2.4
425,3.0
430,3.8
435,4.0
440,3.5
445,2.0
450,3.0
455,2.1
460,3.4
465,3.3
470,2.7
475,3.0
480,3.1
485,3.5
490,3.0
495,3.3
500,3.9
505,3.4
510,2.3
515,3.2
520,2.8
525,3.6
530,2.8
535,3.3
540,2.2
545,3.0
550,2.8
555,3.5
560,2.6
565,3.6
570,2.8
575,2.9
580,2.1
585,3.3
590,2.6
595,3.1
600,3.3
605,3.2
610,2.8
615,2.6
620,3.8
625,3.6
630,3.7
635,2.3
640,3.0
645,3.2
650,3.9
655,3.3
660,2.9
665,3.3
670,3.7
675,2.5
680,3.2
685,3.6
690,2.8
695,2.8
700,3.1
705,3.8
710,3.1
715,3.0
720,2.3
725,3.8
730,3.6
735,3.9
740,3.0
745,2.3
750,2.0
755,3.8
760,2.6
765,3.4
770,2.6
775,2.5
780,3.8
785,2.7
790,2.5
795,3.2
800,2.6
805,2.8
810,2.3
815,2.8
820,2.3
825,2.7
