sekunde,poraba_kw
0,2.4
5,3.1
10,3.1
15,4.0
20,3.5
25,2.8
30,2.3
35,2.8
40,2.9
45,3.3
50,3.7
55,3.8
60,3.8
65,3.2
70,3.9
75,2.2
80,3.1
85,2.5
90,2.0
95,3.8
100,2.5
105,3.9
110,2.6
115,2.5
120,2.0
125,3.5
130,2.5
135,2.5
140,2.7
145,3.8
150,3.0
155,2.5
160,2.3
165,3.8
170,3.2
175,2.1
180,3.6
185,2.6
190,2.4
195,2.9
200,3.6
205,3.5
210,2.9
215,2.6
220,3.1
225,2.9
230,3.8
235,2.8
240,3.6
245,2.4
250,3.9
255,2.3
260,2.0
265,3.3
270,2.6
275,3.2
280,3.5
285,2.8
290,2.9
295,3.1
300,3.4
305,2.8
310,3.2
315,4.0
320,3.5
325,3.3
330,3.5
335,2.1
340,3.4
345,2.7
350,3.0
355,2.3
360,2.3
365,3.8
370,4.0
375,2.7
380,3.9
385,3.4
390,3.0
395,3.6
400,2.3
405,2.2
410,3.3
415,2.2
420,2.5
425,3.8
430,3.0
435,2.1
440,2.5
445,2.1
450,2.5
455,2.0
460,2.1
465,3.8
470,2.4
475,3.9
480,4.0
485,3.7
490,3.9
495,3.1
500,2.3
505,2.5
510,3.5
515,3.3
520,3.7
525,3.4
530,2.2
535,3.7
540,3.7
545,4.0
550,3.2
555,3.8
560,2.4
565,3.8
570,3.7
575,3.6
580,3.5
585,3.3
590,2.9
595,3.0
600,2.1
605,3.8
610,2.2
615,3.5
620,2.7
625,3.2
630,2.1
635,2.1
640,2.7
645,3.4
650,3.8
655,2.3
660,3.0
665,2.1
670,4.0
675,3.0
680,3.4
685,3.6
690,3.0
695,3.8
700,2.3
705,2.3
710,2.2
715,2.3
720,3.1
725,3.0
730,2.4
735,3.6
740,2.2
745,3.5
750,2.0
755,3.6
760,2.4
765,3.2
770,2.3
775,3.4
780,3.7
785,3.3
790,2.5
795,2.8
800,3.9
805,3.0
810,3.6
815,3.2
820,3.9
825,2.3
830,3.5
835,3.9
840,3.4
845,2.9
850,2.3
855,2.9
860,3.3
865,3.0
870,3.6
875,3.5
880,3.4
885,3.2
890,2.3
895,3.2
900,3.9
905,2.1
910,2.1
915,2.7
920,3.3
925,3.5
930,3.3
935,3.0
940,3.2
945,4.0
950,2.4
955,3.8
960,2.7
965,2.1
970,3.3
975,3.1
980,3.7
985,3.6
990,3.6
995,3.1
1000,2.4
1005,2.4
1010,2.4
1015,3.4
1020,2.1
1025,2.8
1030,3.1
1035,2.7
1040,3.7
1045,2.6
1050,2.3
1055,2.2
1060,2.5
1065,2.9
1070,2.4
1075,3.8
1080,3.6
1085,2.3
1090,3.7
1095,2.4
1100,3.5
1105,2.2
1110,2.5
1115,3.2
1120,3.8
1125,3.6
1130,3.7
1135,3.1
1140,3.9
1145,2.4
1150,3.3
1155,2.6
1160,3.5
1165,2.9
1170,2.9
1175,2.8
1180,2.9
1185,3.1
1190,2.7
1195,2.7
1200,2.0
1205,3.3
1210,2.4
1215,2.2
1220,2.7
1225,2.3
1230,3.8
1235,4.0
1240,3.5
1245,3.3
1250,3.7
1255,2.4
1260,2.7
1265,2.1
1270,3.3
1275,3.6
1280,2.9
1285,2.1
1290,3.4
1295,2.7
1300,2.6
1305,3.8
1310,3.0
1315,2.8
1320,2.8
1325,3.4
1330,3.9
1335,3.7
1340,3.9
1345,3.1
1350,2.4
1355,3.5
1360,2.1
1365,3.0
1370,2.9
1375,2.7
1380,2.8
1385,3.3
1390,2.6
1395,2.1
1400,3.9
1405,2.4
1410,3.7
1415,2.3
1420,3.9
1425,3.1
1430,3.6
1435,2.9
1440,2.2
1445,3.7
1450,3.6
1455,3.7
1460,3.1
1465,3.4
1470,2.2
1475,3.0
1480,2.3
1485,2.7
1490,2.3
1495,2.9
1500,2.9
1505,2.0
1510,4.0
1515,3.6
1520,2.4
1525,2.5
1530,3.6
1535,2.3
1540,2.1
1545,2.3
1550,3.5
1555,2.8
1560,2.0
1565,3.8
1570,2.4
1575,2.7
1580,2.9
1585,3.1
1590,3.3
1595,2.2
1600,2.6
1605,2.2
1610,3.1
1615,2.1
1620,2.9
1625,2.4
1630,3.4
1635,3.1
1640,3.7
1645,3.0
1650,2.4
1655,3.7
1660,2.0
1665,3.7
1670,2.5
1675,3.4
1680,2.4
1685,3.7
1690,3.9
1695,3.5
1700,2.7
1705,2.7
1710,3.0
1715,2.7
1720,3.7
1725,3.3
1730,3.1
1735,3.3
1740,3.8
1745,3.5
1750,2.6
1755,3.9
1760,3.4
1765,2.6
1770,3.8
1775,3.5
1780,2.3
1785,3.8
1790,4.0
1795,2.2
1800,2.7
1805,2.6
1810,2.4
1815,2.8
1820,3.4
1825,3.8
1830,2.2
