sekunde,poraba_kw
0,3.5
5,3.7
10,2.9
15,2.2
20,3.5
25,2.8
30,3.0
35,3.0
40,2.0
45,2.7
50,2.4
55,3.6
60,3.0
65,3.7
70,3.7
75,2.9
80,2.8
85,3.2
90,2.8
95,3.5
100,2.7
105,3.9
110,2.3
115,2.0
120,3.4
125,3.7
130,2.2
135,2.8
140,3.3
145,3.1
150,2.9
155,2.6
160,2.1
165,2.1
170,2.9
175,2.1
180,2.7
185,3.9
190,3.1
195,3.2
200,3.3
205,3.1
210,2.4
215,2.6
220,2.3
225,3.1
230,2.7
235,2.5
240,2.6
245,3.3
250,3.7
255,3.0
260,3.6
265,3.5
270,3.8
275,3.2
280,3.4
285,3.2
290,2.2
295,3.6
300,3.2
305,3.6
310,2.2
315,3.3
320,2.1
325,3.2
330,2.6
335,3.4
340,2.1
345,3.8
350,2.3
355,3.7
360,3.6
365,2.8
370,2.3
375,2.3
380,2.3
385,2.7
390,2.3
395,2.1
400,3.9
405,3.3
410,2.9
415,3.2
420,2.6
425,2.0
430,3.5
435,2.8
440,2.2
445,4.0
450,3.8
455,3.9
460,3.8
465,3.7
470,2.9
475,2.1
480,2.4
485,2.5
490,3.9
495,2.6
500,3.7
505,3.0
510,2.4
515,3.1
520,2.8
525,3.3
530,3.0
535,2.7
540,2.9
545,3.0
550,3.6
555,3.7
560,4.0
565,2.0
570,2.6
575,3.3
580,2.1
585,3.8
590,3.4
595,2.0
600,2.0
605,2.5
610,2.3
615,3.5
620,3.3
625,2.4
630,2.4
635,2.7
640,3.1
645,2.6
650,3.3
655,3.7
660,2.3
665,2.0
670,3.9
675,3.0
680,2.6
685,2.3
690,2.1
695,2.1
700,3.9
705,3.1
710,2.2
715,3.0
720,2.1
725,3.9
730,3.8
735,3.2
740,2.9
745,2.9
750,2.6
755,2.3
760,2.3
765,3.9
770,2.5
775,3.9
780,2.4
785,3.4
790,3.4
795,2.9
800,3.1
805,3.7
810,3.1
815,3.1
820,2.8
825,3.2
830,3.5
835,2.2
840,2.4
845,3.9
850,2.9
855,3.0
860,2.7
865,3.9
870,3.6
875,3.4
880,3.0
885,3.3
890,2.6
895,3.0
900,2.9
905,3.8
910,2.2
915,3.7
920,2.4
925,3.0
930,3.8
935,3.2
940,2.3
945,2.9
950,3.3
955,2.7
960,3.8
965,3.4
970,2.5
975,2.2
980,4.0
985,2.5
990,3.0
995,3.5
1000,2.2
1005,3.3
1010,3.0
1015,2.1
1020,2.2
1025,2.4
1030,3.3
1035,3.0
1040,3.0
1045,3.4
1050,2.4
1055,2.9
1060,3.9
1065,3.0
1070,3.7
1075,3.6
1080,3.2
1085,2.7
1090,2.9
1095,3.5
1100,3.4
1105,2.8
1110,3.7
1115,3.0
1120,3.6
1125,3.9
1130,3.7
1135,3.1
1140,3.1
1145,3.4
1150,3.9
1155,2.8
1160,2.1
1165,2.4
1170,3.0
1175,2.8
1180,2.2
1185,3.1
1190,2.9
1195,2.3
1200,2.6
1205,3.3
1210,2.5
1215,3.9
1220,3.0
1225,2.3
1230,4.0
1235,2.6
1240,3.6
1245,3.4
1250,3.0
1255,2.3
1260,3.3
1265,2.6
1270,3.8
1275,4.0
1280,3.5
1285,3.4
1290,3.3
1295,2.5
1300,2.1
1305,2.5
1310,3.2
1315,3.5
1320,3.5
1325,2.4
1330,3.5
