sekunde,poraba_kw
0,3.7
5,3.5
10,2.6
15,3.5
20,3.5
25,3.6
30,3.1
35,3.9
40,3.5
45,2.5
50,3.2
55,3.3
60,3.4
65,3.8
70,2.3
75,3.5
80,3.1
85,3.7
90,3.4
95,2.3
100,2.9
105,2.1
110,2.6
115,3.4
120,3.5
125,2.9
130,3.6
135,3.4
140,3.6
145,2.1
150,3.1
155,2.2
160,2.7
165,3.9
170,2.0
175,2.5
180,3.8
185,2.1
190,3.7
195,2.1
200,3.8
205,2.5
210,3.0
215,4.0
220,3.9
225,2.4
230,3.1
235,2.2
240,3.1
245,2.9
250,2.2
255,2.4
260,3.0
265,2.7
270,2.1
275,3.1
280,3.6
285,3.4
290,2.3
295,2.6
300,3.4
305,3.0
310,2.4
315,3.1
320,3.0
325,3.0
330,2.2
335,3.5
340,2.9
345,2.1
350,2.5
355,2.8
360,2.7
365,3.0
370,2.7
375,4.0
380,3.7
385,3.9
390,2.8
395,3.6
400,3.4
405,2.6
410,2.5
415,3.6
420,2.7
425,3.5
430,2.4
435,2.7
440,2.6
445,3.9
450,3.3
455,2.0
460,3.2
465,2.1
470,2.5
475,2.8
480,3.8
485,2.6
490,3.0
495,2.3
500,3.1
505,3.4
510,3.5
515,2.7
520,2.7
525,2.5
530,3.5
535,2.2
540,2.4
545,3.2
550,3.5
555,3.6
560,3.6
565,3.4
570,3.4
575,2.4
580,2.7
585,3.1
590,2.2
595,2.6
600,2.9
605,3.6
610,2.9
615,2.8
620,3.7
625,2.2
630,2.4
635,2.0
640,2.5
645,3.0
650,3.6
655,2.7
660,3.4
665,2.5
670,3.6
675,2.6
680,3.1
685,3.5
690,3.5
695,2.9
700,2.9
705,2.6
710,2.2
715,2.1
720,3.0
725,3.5
730,2.8
735,3.9
740,3.9
745,2.8
750,2.1
755,3.4
760,2.3
765,3.9
770,3.4
775,2.7
780,3.5
785,3.5
790,4.0
795,3.9
800,3.0
805,2.7
810,2.0
815,3.1
820,2.7
825,2.4
830,3.8
835,3.5
840,2.1
845,3.7
850,2.1
855,3.2
860,2.6
865,2.8
870,3.6
875,3.9
880,2.6
885,3.7
890,3.8
895,2.2
900,2.3
905,2.5
910,2.7
915,3.0
920,3.2
925,3.5
930,3.1
935,2.8
940,3.6
945,2.8
950,2.0
955,3.7
960,3.8
965,2.4
970,2.6
975,2.9
980,2.9
985,3.6
990,2.5
995,2.5
1000,3.8
1005,2.7
1010,2.7
1015,3.7
1020,2.7
1025,2.9
1030,2.1
1035,2.0
1040,2.6
1045,3.0
1050,3.1
1055,2.1
1060,3.9
1065,2.0
1070,3.9
1075,3.4
1080,2.3
1085,2.7
1090,2.9
1095,3.1
1100,3.9
1105,2.8
1110,2.6
1115,2.5
1120,2.2
1125,2.8
1130,3.0
1135,2.2
1140,3.5
1145,4.0
1150,2.0
1155,2.7
1160,3.1
1165,2.7
1170,3.3
1175,3.2
1180,2.3
1185,3.2
1190,2.6
1195,3.8
1200,3.2
1205,2.4
1210,3.0
1215,2.3
1220,4.0
1225,3.6
1230,3.5
1235,2.6
1240,3.7
1245,3.2
1250,2.7
1255,3.6
1260,3.7
1265,3.7
1270,3.4
1275,3.6
1280,2.4
1285,3.8
1290,3.9
1295,3.6
1300,3.9
1305,3.8
1310,2.5
1315,2.1
1320,2.7
1325,3.2
1330,3.9
1335,2.7
1340,3.8
1345,2.5
1350,3.2
1355,3.7
1360,3.8
1365,2.1
1370,2.1
1375,3.9
1380,2.7
1385,2.6
1390,3.7
1395,3.0
1400,3.3
1405,2.3
1410,2.9
1415,3.4
1420,2.7
1425,2.4
1430,2.6
1435,3.9
1440,3.3
1445,2.4
1450,2.7
1455,2.2
1460,3.9
1465,2.0
1470,2.8
1475,3.1
1480,2.3
1485,3.2
1490,3.9
1495,3.6
1500,2.1
1505,2.6
1510,3.9
1515,3.3
1520,3.3
1525,2.7
1530,2.9
1535,4.0
1540,2.9
1545,2.9
1550,2.3
1555,2.3
1560,2.9
1565,2.8
1570,3.1
1575,3.2
1580,3.6
1585,2.4
1590,2.7
1595,3.6
1600,3.4
1605,3.2
1610,2.8
1615,3.6
1620,2.1
1625,3.0
1630,4.0
1635,2.9
1640,2.1
1645,3.8
1650,3.3
1655,3.1
1660,3.1
1665,3.3
1670,3.3
1675,2.4
1680,3.5
1685,2.6
1690,2.3
1695,2.0
1700,3.2
1705,2.5
1710,2.4
1715,2.8
1720,2.5
1725,2.4
1730,3.9
1735,3.9
1740,4.0
1745,2.9
1750,3.9
1755,3.4
1760,3.3
1765,3.5
1770,3.3
1775,3.7
1780,3.5
1785,2.4
1790,2.3
1795,2.6
1800,3.9
1805,2.5
1810,3.5
1815,3.5
1820,3.5
1825,3.7
1830,3.6
1835,3.5
1840,2.6
1845,2.3
1850,3.6
1855,3.0
1860,3.9
1865,3.3
1870,2.1
1875,2.9
1880,3.8
1885,2.3
1890,3.2
1895,3.7
1900,2.8
1905,2.4
1910,2.2
1915,2.8
1920,2.2
1925,2.6
1930,3.6
1935,3.9
1940,3.2
1945,3.1
1950,2.1
1955,3.8
1960,3.6
1965,2.0
1970,2.6
1975,2.4
1980,3.5
1985,2.1
1990,2.1
1995,3.9
2000,3.9
2005,3.2
2010,2.8
2015,2.8
2020,3.8
2025,2.3
2030,3.7
2035,2.1
2040,2.4
2045,2.6
2050,3.2
2055,3.1
2060,3.8
2065,2.2
2070,2.5
2075,3.8
2080,3.6
2085,2.5
2090,2.5
2095,2.7
2100,2.7
2105,2.7
2110,2.7
2115,2.8
2120,2.1
2125,3.2
2130,3.9
2135,3.0
2140,3.4
2145,2.9
2150,2.5
2155,3.7
2160,2.3
2165,3.5
2170,2.1
2175,2.4
2180,4.0
2185,3.3
2190,3.1
2195,3.9
2200,3.5
2205,3.5
2210,3.9
2215,2.9
2220,3.9
2225,3.6
2230,2.5
2235,2.1
2240,3.7
2245,3.0
2250,3.8
2255,4.0
2260,2.7
2265,2.2
2270,3.0
2275,2.8
2280,2.7
2285,3.5
2290,2.2
2295,2.1
2300,3.6
2305,2.3
2310,2.2
2315,3.5
2320,2.1
2325,2.2
2330,2.6
2335,3.9
2340,2.2
2345,3.7
2350,2.1
2355,4.0
2360,2.5
2365,3.2
2370,3.4
2375,3.5
2380,3.8
2385,3.4
2390,2.1
2395,3.6
2400,3.1
2405,2.1
2410,3.3
2415,3.7
2420,3.0
2425,2.8
2430,3.3
2435,3.2
2440,3.8
2445,3.1
2450,2.3
2455,2.1
2460,3.8
2465,2.4
2470,2.3
2475,3.7
2480,2.4
2485,2.5
2490,3.2
2495,3.1
2500,3.7
2505,3.7
2510,3.8
2515,2.4
2520,2.2
2525,3.2
2530,2.7
2535,2.8
2540,2.4
2545,2.4
2550,3.6
2555,2.1
2560,2.7
2565,3.8
2570,3.5
2575,3.3
2580,2.3
2585,2.1
2590,3.8
2595,3.4
2600,2.9
2605,2.2
2610,2.5
2615,2.4
2620,3.6
2625,3.9
2630,2.2
2635,2.8
2640,3.3
2645,2.1
2650,2.7
2655,3.9
2660,3.2
2665,2.4
2670,2.5
2675,3.7
2680,2.6
2685,3.6
2690,3.5
2695,3.7
2700,2.3
2705,3.1
2710,3.0
2715,3.6
2720,2.3
2725,2.0
2730,2.4
2735,3.6
2740,3.6
2745,3.1
2750,2.6
2755,2.2
2760,2.3
2765,2.9
2770,3.7
2775,3.5
2780,3.9
2785,3.3
2790,3.7
2795,2.5
2800,2.7
2805,2.5
2810,2.4
2815,3.3
2820,2.6
2825,2.6
2830,2.3
2835,3.5
2840,3.6
2845,2.8
2850,2.0
2855,3.7
2860,3.0
2865,3.6
2870,3.0
2875,3.8
2880,2.7
2885,3.4
2890,2.3
2895,2.9
2900,2.5
2905,3.2
2910,2.2
2915,3.3
2920,2.2
2925,3.4
2930,2.3
2935,3.2
2940,3.5
2945,3.0
2950,3.6
2955,3.0
2960,3.2
2965,2.5
2970,3.0
2975,2.0
2980,3.5
2985,2.4
2990,2.8
2995,3.5
3000,3.7
3005,2.3
3010,3.7
3015,3.9
3020,2.5
3025,3.3
3030,2.4
3035,2.2
3040,2.4
3045,2.4
3050,2.9
3055,2.7
3060,3.0
3065,3.8
3070,3.8
3075,2.3
3080,3.1
3085,2.8
3090,3.8
3095,2.4
3100,3.8
3105,3.0
3110,3.1
3115,2.7
3120,2.8
3125,2.4
3130,3.0
3135,2.9
3140,2.1
3145,3.5
3150,3.7
3155,2.0
3160,3.7
3165,3.8
3170,3.6
3175,4.0
3180,2.7
3185,2.4
3190,3.7
3195,3.4
3200,2.9
3205,2.2
3210,3.4
3215,3.1
3220,3.6
3225,2.9
3230,2.6
3235,2.8
3240,2.5
3245,3.9
3250,3.0
3255,2.7
3260,2.6
3265,3.5
3270,3.4
3275,3.1
3280,2.2
3285,2.3
3290,3.3
3295,3.0
3300,3.5
3305,2.1
3310,3.6
3315,2.4
3320,2.7
3325,3.7
3330,2.6
3335,2.8
3340,3.5
3345,3.4
3350,3.8
3355,3.6
3360,3.1
3365,3.0
3370,2.7
3375,2.5
3380,3.5
3385,3.0
3390,33.9
3395,32.4
3400,33.2
3405,32.4
3410,33.6
3415,32.9
3420,33.6
3425,33.7
3430,32.9
3435,34.0
3440,32.3
3445,32.6
3450,33.3
3455,32.7
3460,34.1
3465,33.1
3470,33.0
3475,32.5
3480,33.1
3485,33.5
3490,32.9
3495,32.4
3500,33.0
3505,33.4
3510,33.2
3515,32.9
3520,32.9
3525,33.0
3530,33.8
3535,33.3
3540,33.9
3545,33.9
3550,33.2
3555,32.3
3560,33.0
3565,34.0
3570,33.1
3575,32.6
3580,33.3
3585,34.0
3590,33.2
3595,32.2
3600,34.0
3605,34.1
3610,33.7
3615,33.5
3620,32.4
3625,32.3
3630,33.8
3635,34.1
3640,33.7
3645,32.8
3650,33.3
3655,32.2
3660,32.4
3665,32.9
3670,32.8
3675,32.2
3680,33.0
3685,33.6
3690,33.6
3695,32.5
3700,33.2
3705,33.5
3710,33.7
3715,32.3
3720,33.6
3725,32.3
3730,33.0
3735,33.9
3740,33.2
3745,32.6
3750,32.4
3755,33.3
3760,33.9
3765,32.6
3770,33.3
3775,33.6
3780,34.0
3785,33.1
3790,32.8
3795,33.3
3800,32.5
3805,33.1
3810,33.5
3815,33.8
3820,33.4
3825,33.5
3830,32.2
3835,32.2
3840,33.1
3845,33.2
3850,32.7
3855,33.3
3860,33.0
3865,33.2
3870,33.2
3875,32.4
3880,32.2
3885,32.2
3890,32.4
3895,33.3
3900,32.4
3905,33.6
3910,32.2
3915,34.1
3920,32.5
3925,33.0
3930,33.3
3935,33.5
3940,32.8
3945,32.4
3950,33.7
3955,32.9
3960,32.2
3965,32.3
3970,32.5
3975,33.4
3980,32.7
3985,33.0
3990,33.0
3995,33.1
4000,33.2
4005,32.4
4010,33.7
4015,32.9
4020,34.0
4025,33.6
4030,34.1
4035,32.6
4040,32.6
4045,33.4
4050,32.6
4055,32.2
4060,33.6
4065,32.6
4070,33.1
4075,32.2
4080,33.4
4085,32.5
4090,33.0
4095,32.6
4100,33.4
4105,32.2
4110,33.7
4115,32.7
4120,33.2
4125,33.6
4130,32.8
4135,34.0
4140,32.3
4145,33.0
4150,32.1
4155,33.0
4160,33.7
4165,32.2
4170,33.6
4175,33.4
4180,32.1
4185,33.1
4190,32.3
4195,32.8
4200,32.3
4205,32.7
4210,33.3
4215,32.3
4220,32.2
4225,34.1
4230,32.3
4235,32.8
4240,33.7
4245,33.8
4250,32.8
4255,33.6
4260,33.7
4265,32.9
4270,33.7
4275,33.0
4280,34.0
4285,33.1
4290,34.1
4295,33.1
4300,33.4
4305,33.6
4310,33.6
4315,33.2
4320,33.7
4325,32.5
4330,32.8
4335,32.5
4340,33.7
4345,33.6
4350,32.4
4355,32.2
4360,33.1
4365,32.5
4370,33.4
4375,32.7
4380,34.0
4385,32.5
4390,33.7
4395,33.1
4400,32.3
4405,33.3
4410,33.9
4415,34.1
4420,33.2
4425,33.2
4430,33.7
4435,32.5
4440,33.0
4445,33.8
4450,33.6
4455,32.9
4460,33.1
4465,33.0
4470,33.1
4475,32.6
4480,32.5
4485,32.1
4490,33.3
4495,33.8
4500,33.7
4505,33.0
4510,33.8
4515,33.2
4520,32.9
4525,32.2
4530,34.0
4535,33.1
4540,33.6
4545,33.7
4550,33.0
4555,32.5
4560,34.0
4565,32.7
4570,33.7
4575,32.9
4580,32.6
4585,33.4
4590,32.3
4595,32.8
4600,33.4
4605,32.7
4610,33.9
4615,33.5
4620,33.8
4625,33.7
4630,33.2
4635,32.2
4640,33.7
4645,33.3
4650,33.2
4655,32.2
4660,32.6
4665,33.4
4670,32.2
4675,33.2
4680,32.9
4685,32.4
4690,32.8
4695,34.0
4700,32.5
4705,32.8
4710,33.2
4715,33.3
4720,32.5
4725,34.0
4730,32.9
4735,32.7
4740,32.5
4745,33.8
4750,33.8
4755,32.5
4760,32.8
4765,32.1
4770,33.4
4775,32.9
4780,32.7
4785,33.5
4790,32.2
4795,33.7
4800,33.4
4805,34.1
4810,33.5
4815,32.9
4820,33.8
4825,33.0
4830,33.2
4835,33.5
4840,32.4
4845,33.3
4850,32.7
4855,33.1
4860,33.3
4865,33.6
4870,32.7
4875,33.1
4880,33.5
4885,32.9
4890,32.9
4895,33.5
4900,34.0
4905,32.6
4910,32.7
4915,33.1
4920,32.8
4925,32.2
4930,34.1
4935,33.2
4940,33.3
4945,33.8
4950,34.0
4955,33.5
4960,32.3
4965,32.9
4970,33.8
4975,34.1
4980,33.0
4985,33.1
4990,33.3
4995,32.2
5000,33.4
5005,32.7
5010,33.1
5015,32.8
5020,33.2
5025,34.1
5030,33.0
5035,33.1
5040,32.6
5045,32.3
5050,33.3
5055,32.3
5060,32.6
5065,33.2
5070,33.1
5075,33.2
5080,33.6
5085,33.6
5090,33.0
5095,32.9
5100,32.1
5105,32.5
5110,33.8
5115,33.3
5120,33.4
5125,34.0
5130,32.7
5135,32.8
5140,32.5
5145,33.5
5150,33.4
5155,34.0
5160,32.4
5165,33.5
5170,33.5
5175,33.7
5180,32.1
5185,34.0
5190,33.2
5195,32.8
5200,33.7
5205,34.1
5210,32.4
5215,33.9
5220,32.8
5225,33.9
5230,33.7
5235,32.5
5240,32.6
5245,33.5
5250,32.6
5255,32.6
5260,33.2
5265,33.2
5270,32.6
5275,32.4
5280,33.2
5285,32.1
5290,33.4
5295,32.1
5300,33.9
5305,33.9
5310,32.2
5315,32.7
5320,34.1
5325,33.8
5330,32.5
5335,33.9
5340,33.3
5345,34.0
5350,32.4
5355,33.7
5360,33.6
5365,32.3
5370,33.7
5375,33.2
5380,34.0
5385,32.8
5390,33.8
5395,33.6
5400,32.5
5405,34.0
