sekunde,poraba_kw
0,3.4
5,2.1
10,3.0
15,3.8
20,3.4
25,2.4
30,3.9
35,2.6
40,3.7
45,2.8
50,3.9
55,3.8
60,2.8
65,2.6
70,2.1
75,2.8
80,3.1
85,3.8
90,3.9
95,3.3
100,3.4
105,2.9
110,2.9
115,3.3
120,2.6
125,2.4
130,3.5
135,4.0
140,3.4
145,3.7
150,3.4
155,3.8
160,3.6
165,2.5
170,2.2
175,2.1
180,2.1
185,2.5
190,2.5
195,3.8
200,3.2
205,2.8
210,2.0
215,2.3
220,2.2
225,2.0
230,2.8
235,2.9
240,2.0
245,2.4
250,3.8
255,3.1
260,2.8
265,3.2
270,3.3
275,2.3
280,3.9
285,2.1
290,3.1
295,3.7
300,2.3
305,3.4
310,2.7
315,3.1
320,3.2
325,4.0
330,3.4
335,3.4
340,2.1
345,3.1
350,2.1
355,3.5
360,2.7
365,2.1
370,3.1
375,3.4
380,2.5
385,3.3
390,3.0
395,3.2
400,2.5
405,3.9
410,3.5
415,2.8
420,2.7
425,3.1
430,2.7
435,2.5
440,3.0
445,2.5
450,3.9
455,2.5
460,3.2
465,2.6
470,3.2
475,3.0
480,3.6
485,3.5
490,2.2
495,2.2
500,2.6
505,3.8
510,2.9
515,3.4
520,3.3
525,3.0
530,2.5
535,2.5
540,3.1
545,3.9
550,3.4
555,2.1
560,3.0
565,2.9
570,2.6
575,2.9
580,2.8
585,2.7
590,3.7
595,2.5
600,2.0
605,3.4
610,2.9
615,3.2
620,2.6
625,3.2
630,3.7
635,2.4
640,3.8
645,3.6
650,3.0
655,2.3
660,3.3
665,3.5
670,2.9
675,2.1
680,2.6
685,3.1
690,3.4
695,3.5
700,2.5
705,2.3
710,3.5
715,2.8
720,3.2
725,3.7
730,2.9
735,2.5
740,2.5
745,2.4
750,3.3
755,2.8
760,2.3
765,3.8
770,2.4
775,3.0
780,2.3
785,4.0
790,2.5
795,2.6
800,2.4
805,2.0
810,2.7
815,2.5
820,3.5
825,3.1
830,2.8
835,2.1
840,3.4
845,2.2
850,2.3
855,2.7
860,4.0
865,3.8
870,3.4
875,3.7
880,3.8
885,3.1
890,3.1
895,2.7
900,3.3
905,3.3
910,2.2
915,2.9
920,3.6
925,2.7
930,2.1
935,2.4
940,3.1
945,3.1
950,3.7
955,3.6
960,3.1
965,3.5
970,2.1
975,2.3
980,3.2
985,2.8
990,3.1
995,2.1
1000,3.4
1005,3.9
1010,2.3
1015,2.8
1020,3.4
1025,3.7
1030,3.6
1035,3.4
1040,2.1
1045,2.1
1050,2.1
1055,3.5
1060,2.0
1065,3.5
1070,3.3
1075,3.5
1080,4.0
1085,2.5
1090,3.9
1095,2.5
1100,3.2
1105,3.8
1110,3.0
1115,3.6
1120,2.2
1125,3.0
1130,2.5
1135,2.5
1140,2.3
