sekunde,poraba_kw
0,2.5
5,2.1
10,2.9
15,2.8
20,3.2
25,2.3
30,2.2
35,3.6
40,2.1
45,2.8
50,2.8
55,3.7
60,3.4
65,2.2
70,2.9
75,2.4
80,3.9
85,2.4
90,3.3
95,2.4
100,3.0
105,3.0
110,3.3
115,3.5
120,3.1
125,2.4
130,3.9
135,2.2
140,3.3
145,3.0
150,2.2
155,2.0
160,4.0
165,3.6
170,3.4
175,2.0
180,3.1
185,2.9
190,3.4
195,3.0
200,3.5
205,3.1
210,3.4
215,3.1
220,2.7
225,3.8
230,3.3
235,2.6
240,2.9
245,3.9
250,3.5
255,2.6
260,3.8
265,2.8
270,2.4
275,4.0
280,3.3
285,3.5
290,2.6
295,3.7
300,2.1
305,2.4
310,2.9
315,3.8
320,2.8
325,2.4
330,3.2
335,2.4
340,3.8
345,2.0
350,2.5
355,3.4
360,2.6
365,2.4
370,2.9
375,2.2
380,3.5
385,3.2
390,3.8
395,3.0
400,3.9
405,4.0
410,4.0
415,2.4
420,4.0
425,2.8
430,2.7
435,3.9
440,2.7
445,2.9
450,2.3
455,3.2
460,4.0
465,2.4
470,2.3
475,3.0
480,2.2
485,2.6
490,4.0
495,3.0
500,2.7
505,3.4
510,3.7
515,3.7
520,3.7
525,2.1
530,2.9
535,2.7
540,2.3
545,3.2
550,2.2
555,3.2
560,3.2
565,2.2
570,3.1
575,2.4
580,2.2
585,2.5
590,3.3
595,2.0
600,2.8
605,2.8
610,3.4
615,3.2
620,4.0
625,2.5
630,2.7
635,3.8
640,2.4
645,3.5
650,2.3
655,2.2
660,3.1
665,2.0
670,3.1
675,3.1
680,3.8
685,2.6
690,3.0
695,2.9
700,3.3
705,2.3
710,3.0
715,2.9
720,2.8
725,2.1
730,3.7
735,2.8
740,2.3
745,3.5
750,2.7
755,2.4
760,3.6
765,3.7
770,3.5
775,2.3
780,2.9
785,2.6
790,3.2
795,3.2
800,3.2
805,3.7
810,3.0
815,2.8
820,3.6
825,3.6
830,3.9
835,3.5
840,3.0
845,3.2
850,3.2
855,3.2
860,3.6
865,3.1
870,2.8
875,3.3
880,3.3
885,2.4
890,3.5
895,3.1
900,2.1
905,3.3
910,3.0
915,2.4
920,3.1
925,3.8
930,3.5
935,2.1
940,3.1
945,2.5
950,2.4
955,3.5
960,3.7
965,2.5
970,3.4
975,2.9
980,2.1
985,3.9
990,2.0
995,3.9
1000,3.5
1005,2.5
1010,2.6
1015,2.2
1020,3.2
1025,3.8
1030,2.9
1035,3.7
1040,3.3
1045,3.7
1050,3.8
1055,3.1
1060,2.9
1065,3.1
1070,2.2
1075,2.2
1080,3.3
1085,2.3
1090,2.9
1095,2.5
1100,2.0
1105,2.9
1110,3.3
1115,2.7
1120,2.6
1125,2.5
1130,2.6
1135,3.9
1140,2.7
1145,2.8
1150,3.7
1155,3.6
1160,2.2
1165,3.8
1170,2.7
1175,3.3
1180,2.5
1185,3.3
1190,2.5
1195,2.6
1200,3.9
1205,3.8
1210,3.8
1215,2.7
1220,2.7
1225,3.7
1230,2.6
1235,3.3
1240,2.5
1245,3.1
1250,2.7
1255,2.6
1260,3.6
1265,2.0
1270,3.7
1275,2.7
1280,2.4
1285,3.6
1290,2.4
1295,2.9
1300,3.7
1305,3.8
1310,3.5
1315,3.9
1320,4.0
1325,3.3
1330,3.8
1335,3.1
1340,2.7
1345,3.6
1350,2.2
1355,2.8
1360,2.0
1365,3.4
1370,3.0
1375,3.9
1380,2.1
1385,3.7
1390,3.5
1395,3.2
1400,2.8
1405,3.2
1410,2.2
1415,3.1
1420,2.3
1425,3.5
1430,4.0
1435,3.5
1440,3.7
1445,3.0
1450,2.4
1455,3.9
1460,2.6
1465,3.8
1470,2.7
1475,4.0
1480,3.2
1485,3.5
1490,3.9
1495,3.1
1500,3.0
1505,3.6
1510,2.9
1515,3.0
1520,2.2
1525,2.4
1530,3.3
1535,3.6
1540,3.8
1545,3.7
1550,3.6
1555,3.4
1560,2.8
1565,2.3
1570,3.7
1575,2.5
1580,3.3
1585,2.4
1590,2.5
1595,3.4
1600,2.8
1605,3.6
1610,3.0
1615,2.2
1620,2.9
1625,3.2
1630,2.3
1635,2.2
1640,3.4
1645,3.3
1650,2.3
1655,3.8
1660,4.0
1665,3.5
1670,3.3
1675,3.9
1680,2.4
1685,2.7
1690,3.2
1695,3.6
1700,2.3
1705,2.2
1710,2.3
1715,3.8
1720,2.6
1725,3.3
1730,2.5
1735,2.7
1740,2.4
1745,3.1
1750,3.0
1755,2.7
1760,2.5
1765,2.7
1770,2.1
1775,2.1
1780,2.3
1785,2.8
1790,2.1
1795,2.1
1800,2.6
1805,2.9
1810,3.7
1815,2.9
1820,2.3
1825,3.2
1830,2.7
1835,2.5
1840,2.4
1845,3.9
1850,2.6
1855,2.8
1860,2.6
1865,3.3
1870,3.7
1875,3.3
1880,3.1
1885,2.4
1890,2.9
1895,2.0
1900,2.1
1905,2.6
1910,3.7
1915,2.6
1920,2.1
1925,3.0
1930,2.2
1935,2.9
1940,3.5
1945,2.5
1950,3.4
1955,2.3
1960,2.8
1965,3.6
1970,3.3
