sekunde,poraba_kw
0,3.2
5,2.0
10,3.8
15,2.3
20,2.9
25,3.6
30,2.9
35,3.2
40,2.9
45,3.5
50,2.4
55,3.1
60,3.1
65,2.3
70,3.4
75,3.4
80,2.1
85,3.8
90,3.7
95,2.4
100,3.4
105,3.6
110,2.3
115,3.6
120,3.8
125,2.8
130,3.1
135,2.2
140,4.0
145,3.9
150,2.8
155,3.9
160,3.5
165,2.5
170,2.4
175,2.3
180,3.2
185,3.3
190,3.9
195,2.5
200,3.6
205,2.8
210,2.1
215,2.2
220,2.2
225,2.8
230,2.4
235,3.2
240,2.5
245,2.7
250,3.0
255,2.9
260,2.2
265,3.6
270,3.3
275,2.8
280,3.1
285,3.7
290,3.3
295,3.1
300,2.2
305,2.4
310,3.1
315,3.5
320,2.1
325,2.0
330,2.8
335,2.1
340,3.4
345,3.0
350,2.7
355,3.4
360,3.8
365,3.7
370,3.1
375,3.7
380,3.6
385,3.1
390,3.2
395,2.7
400,3.8
405,3.8
410,3.3
415,2.7
420,2.5
425,2.5
430,2.8
435,3.7
440,3.6
445,3.6
450,2.7
455,3.5
460,3.8
465,2.8
470,3.7
475,2.3
480,2.9
485,3.5
490,2.6
495,3.2
500,2.3
505,3.3
510,2.3
515,3.2
520,3.9
525,4.0
530,3.2
535,2.9
540,3.2
545,2.2
550,3.3
555,3.7
560,3.1
565,2.1
570,2.8
575,3.5
580,2.3
585,2.2
590,3.2
595,2.3
600,2.8
605,3.9
610,3.9
615,3.7
620,3.1
625,3.6
630,2.0
635,2.1
640,3.6
645,2.4
650,3.0
655,4.0
660,2.8
665,3.3
670,3.3
675,2.2
680,2.1
685,2.9
690,2.5
695,2.1
700,2.1
705,3.8
710,2.1
715,3.8
720,2.9
725,2.9
730,2.3
735,3.3
740,2.6
745,2.5
750,3.4
755,3.6
760,3.1
765,3.9
770,2.8
775,3.3
780,2.1
785,2.6
790,3.2
795,3.5
800,3.6
805,2.9
810,2.0
815,3.6
820,2.1
825,2.5
830,2.4
835,2.9
840,2.2
845,3.2
850,2.9
855,3.2
860,2.2
865,2.3
870,2.3
875,2.3
880,3.2
885,3.8
890,3.4
895,3.9
900,2.5
905,2.4
910,2.2
915,4.0
920,2.7
925,2.7
930,3.5
935,3.3
940,3.5
945,2.6
950,3.0
955,2.1
960,3.3
965,2.6
970,3.5
975,3.1
980,3.6
985,4.0
990,2.6
995,2.9
1000,2.7
1005,2.1
1010,2.3
1015,3.0
1020,2.4
1025,3.3
1030,3.8
1035,3.8
1040,2.5
1045,3.7
1050,3.9
1055,2.2
1060,3.2
1065,2.6
1070,2.7
1075,3.4
1080,3.4
1085,3.6
1090,2.4
1095,3.2
1100,4.0
1105,3.5
1110,3.7
1115,3.3
1120,3.8
1125,3.2
1130,2.5
1135,3.7
1140,3.4
1145,2.5
1150,3.4
1155,2.1
1160,3.5
1165,2.3
1170,3.9
1175,2.8
1180,2.5
1185,2.8
1190,3.5
1195,3.3
1200,3.9
1205,4.0
1210,3.1
1215,3.9
1220,3.7
1225,3.0
1230,2.8
1235,3.2
1240,2.9
1245,3.1
1250,3.4
1255,2.4
1260,3.8
1265,2.6
1270,4.0
1275,3.6
1280,2.7
1285,2.4
1290,3.2
1295,2.1
1300,3.9
1305,3.8
1310,3.6
1315,2.7
1320,3.5
1325,3.5
1330,3.9
1335,3.4
1340,3.4
1345,2.7
1350,3.9
1355,3.6
1360,3.2
1365,2.2
1370,2.6
1375,3.8
1380,2.1
1385,3.3
1390,3.8
1395,3.8
1400,2.1
1405,2.2
1410,3.8
1415,3.2
1420,3.5
1425,3.5
1430,2.4
1435,2.9
1440,3.6
1445,2.6
1450,3.2
1455,4.0
1460,3.0
1465,3.3
1470,3.1
1475,3.5
1480,2.9
1485,2.7
1490,2.3
1495,3.5
1500,2.7
1505,2.2
1510,3.0
1515,2.5
1520,2.4
1525,2.5
1530,3.3
1535,3.3
1540,2.1
1545,2.9
1550,3.0
1555,2.1
1560,3.5
1565,3.5
1570,3.3
1575,2.4
1580,3.4
1585,3.8
1590,3.9
1595,2.1
1600,3.3
1605,2.4
1610,3.4
1615,4.0
1620,3.5
1625,2.6
1630,3.2
1635,2.7
1640,3.8
1645,2.5
1650,3.9
1655,2.0
1660,3.0
1665,3.5
1670,2.1
1675,3.6
1680,2.3
1685,2.4
1690,2.4
1695,2.0
1700,3.7
1705,2.2
1710,3.5
1715,2.0
1720,3.7
1725,2.5
1730,2.3
1735,2.5
1740,2.5
1745,2.3
1750,3.4
1755,2.6
1760,2.5
1765,3.6
1770,2.1
1775,2.3
1780,2.8
1785,3.7
1790,3.7
1795,2.6
1800,2.3
1805,4.0
1810,2.3
1815,3.5
1820,2.8
1825,2.8
1830,2.2
1835,3.5
1840,2.4
1845,2.6
1850,2.6
1855,2.6
1860,2.9
1865,3.9
1870,3.9
1875,3.9
1880,3.5
1885,3.8
1890,2.4
1895,3.8
1900,2.4
1905,3.6
1910,3.5
1915,2.3
1920,2.0
1925,3.3
1930,2.9
1935,4.0
1940,2.1
1945,2.4
1950,2.3
1955,2.1
1960,2.9
1965,2.4
1970,2.5
1975,2.3
1980,3.3
1985,2.8
1990,3.3
1995,3.2
2000,3.9
2005,3.4
2010,3.8
2015,3.8
2020,2.1
2025,3.0
2030,3.3
2035,2.4
2040,2.7
2045,2.3
2050,2.2
2055,3.8
2060,2.0
2065,2.9
2070,2.4
2075,3.3
2080,2.6
2085,3.1
2090,3.2
2095,2.8
2100,3.1
2105,2.1
2110,3.1
2115,3.6
2120,2.1
2125,3.0
2130,3.1
2135,2.7
2140,2.8
2145,3.0
2150,2.9
2155,2.5
2160,3.0
2165,4.0
2170,2.6
2175,2.1
2180,2.5
2185,2.0
2190,3.3
2195,2.9
2200,2.9
2205,3.7
2210,2.9
2215,2.4
2220,2.9
2225,3.0
2230,4.0
2235,2.8
2240,3.3
2245,3.9
2250,3.4
2255,3.0
2260,4.0
2265,3.6
2270,4.0
2275,3.6
2280,2.7
2285,2.5
2290,3.1
2295,2.6
2300,3.8
2305,2.5
2310,3.0
2315,2.8
2320,4.0
2325,2.8
2330,2.3
2335,2.9
2340,3.5
2345,2.0
2350,2.2
2355,2.8
2360,3.0
2365,3.0
2370,2.8
2375,3.5
2380,3.5
2385,3.5
2390,3.2
2395,3.8
2400,2.9
2405,3.1
2410,3.8
2415,2.7
2420,3.6
2425,3.3
2430,3.8
2435,2.6
2440,2.8
2445,2.2
2450,3.6
2455,3.8
2460,3.2
2465,3.8
2470,2.0
2475,3.2
2480,3.9
2485,2.2
2490,3.4
2495,2.3
2500,4.0
2505,3.8
2510,3.1
2515,3.1
2520,2.7
2525,2.7
2530,3.9
2535,2.1
2540,3.5
2545,3.5
2550,2.9
2555,2.7
2560,3.2
2565,2.5
2570,2.9
2575,2.1
2580,3.0
2585,2.2
2590,3.9
2595,3.5
2600,3.5
2605,3.8
2610,2.5
2615,2.7
2620,2.0
2625,3.1
2630,2.4
2635,3.2
2640,2.7
2645,3.0
2650,3.3
2655,2.8
2660,2.7
2665,2.6
2670,3.9
2675,2.2
2680,3.3
2685,3.5
2690,3.2
2695,2.8
2700,2.5
2705,2.1
2710,2.6
2715,3.1
2720,3.6
2725,3.5
2730,3.1
2735,3.0
2740,2.9
2745,2.9
2750,2.8
2755,3.1
2760,3.0
2765,3.0
2770,2.7
2775,2.0
2780,2.4
2785,3.9
2790,2.9
2795,3.1
2800,2.5
2805,2.8
2810,2.4
2815,2.3
2820,3.4
2825,3.9
2830,3.9
2835,2.9
2840,3.2
2845,3.2
2850,2.2
2855,3.9
2860,2.2
2865,3.0
2870,3.1
2875,3.8
2880,2.5
2885,3.0
2890,2.9
2895,3.0
2900,2.4
2905,3.6
2910,2.0
2915,2.2
2920,2.1
2925,3.5
2930,3.3
2935,2.3
2940,2.9
2945,3.0
2950,2.7
2955,2.3
2960,2.4
2965,4.0
2970,2.8
2975,2.2
2980,3.5
2985,4.0
2990,3.3
2995,2.5
3000,4.0
3005,2.3
3010,2.2
3015,3.9
3020,3.8
3025,2.1
3030,2.1
3035,3.5
3040,3.8
3045,3.8
3050,2.7
3055,2.9
3060,3.5
3065,2.6
3070,2.7
3075,3.2
3080,3.4
3085,2.1
3090,3.0
3095,2.7
3100,3.0
3105,3.1
3110,3.9
3115,3.0
3120,2.5
3125,2.7
3130,2.3
3135,3.7
3140,2.5
3145,3.8
3150,2.1
3155,2.1
3160,3.5
3165,2.6
3170,3.6
3175,3.2
3180,3.8
3185,3.7
3190,2.4
