sekunde,poraba_kw
0,2.8
5,2.0
10,2.4
15,2.7
20,2.1
25,3.0
30,3.3
35,3.1
40,3.5
45,2.1
50,2.8
55,3.9
60,2.7
65,3.3
70,3.7
75,3.1
80,2.2
85,2.4
90,4.0
95,3.6
100,2.2
105,3.4
110,2.7
115,2.2
120,3.2
125,2.9
130,2.5
135,2.0
140,3.2
145,3.8
150,3.4
155,2.5
160,2.9
165,2.1
170,2.2
175,2.4
180,2.2
185,3.5
190,2.7
195,3.5
200,2.2
205,4.0
210,3.3
215,3.4
220,3.1
225,3.2
230,2.4
235,3.0
240,3.8
245,2.8
250,2.2
255,3.2
260,2.0
265,2.2
270,3.5
275,2.9
280,2.3
285,3.5
290,3.9
295,2.0
300,2.2
305,3.3
310,2.4
315,3.9
320,2.8
325,2.2
330,3.9
335,3.9
340,3.9
345,3.2
350,3.5
355,2.6
360,3.4
365,3.4
370,3.9
375,3.3
380,3.3
385,2.4
390,2.7
395,3.8
400,2.2
405,3.9
410,3.4
415,3.8
420,3.6
425,2.1
430,3.9
435,2.2
440,3.7
445,4.0
450,2.7
455,2.8
460,3.7
465,3.8
470,2.5
475,3.4
480,3.8
485,2.2
490,2.4
495,2.0
500,2.2
505,3.2
510,2.9
515,2.4
520,3.1
525,3.1
530,3.7
535,2.4
540,3.4
545,2.7
550,2.6
555,3.1
560,3.1
565,3.9
570,3.4
575,2.5
580,3.3
585,3.6
590,2.4
595,2.2
600,3.8
605,3.8
610,2.7
615,2.2
620,2.2
625,3.8
630,2.9
635,3.7
640,2.7
645,3.1
650,2.2
655,3.8
660,3.3
665,3.1
670,2.9
675,2.9
680,3.6
685,3.6
690,2.9
695,3.5
700,2.6
705,2.4
710,2.3
715,3.8
720,3.7
725,3.3
730,2.8
735,2.2
740,3.3
745,3.7
750,3.6
755,2.1
760,2.8
765,2.9
770,3.0
775,2.3
780,3.6
785,2.3
790,2.5
795,2.8
800,2.5
805,3.8
810,3.4
815,3.2
820,2.3
825,3.1
830,2.5
835,2.8
840,3.8
845,2.1
850,3.6
855,3.3
860,2.0
865,3.7
870,2.1
875,3.2
880,3.0
885,2.1
890,2.5
895,2.1
900,2.7
905,3.5
910,2.3
915,3.2
920,2.8
925,2.0
930,2.3
935,2.2
940,3.4
945,3.8
950,2.1
955,2.2
960,3.0
965,3.1
970,2.4
975,3.6
980,2.0
985,3.5
990,2.7
995,2.0
1000,2.8
1005,3.7
1010,3.2
1015,2.8
1020,2.4
1025,2.6
1030,3.8
1035,2.1
1040,2.7
1045,3.1
1050,3.1
1055,2.3
1060,3.1
1065,2.9
1070,3.6
1075,2.6
1080,2.6
1085,2.5
1090,2.6
1095,3.3
1100,2.9
1105,3.1
1110,2.5
1115,3.7
1120,3.1
1125,3.3
1130,2.6
1135,2.4
1140,2.8
1145,3.9
1150,3.7
1155,2.5
1160,3.1
1165,3.3
1170,2.2
1175,3.2
1180,2.0
1185,3.3
1190,3.5
1195,3.9
1200,3.1
1205,3.5
1210,3.2
1215,3.3
1220,2.2
1225,3.6
1230,2.8
1235,3.0
1240,2.2
1245,3.4
1250,3.1
1255,3.1
1260,2.7
1265,3.8
1270,2.8
1275,2.6
1280,2.0
1285,3.3
1290,3.0
1295,3.2
1300,3.3
1305,3.8
1310,2.2
1315,3.7
1320,2.0
1325,3.3
1330,3.5
1335,3.5
1340,2.7
1345,2.3
1350,3.9
1355,3.9
1360,2.8
1365,3.2
1370,2.9
1375,2.6
1380,4.0
1385,3.5
1390,3.9
1395,3.0
1400,2.9
1405,2.4
1410,3.2
1415,3.7
1420,3.3
1425,2.0
1430,3.0
1435,2.4
1440,2.0
1445,2.3
1450,3.2
1455,2.4
1460,2.5
1465,3.2
1470,2.8
1475,2.2
1480,2.1
1485,3.2
1490,3.5
1495,2.9
1500,2.5
1505,3.8
1510,3.5
1515,2.8
1520,2.1
1525,3.4
1530,2.6
1535,3.9
1540,2.8
1545,3.8
1550,3.1
1555,2.9
1560,2.3
1565,2.5
1570,3.6
1575,2.6
1580,3.3
1585,3.5
1590,2.0
1595,2.9
1600,3.4
1605,3.9
1610,2.1
1615,3.9
1620,4.0
1625,3.7
1630,3.5
1635,3.2
1640,3.3
1645,3.4
1650,3.9
1655,3.3
1660,2.2
1665,3.5
1670,3.7
1675,3.9
1680,3.2
1685,2.4
1690,3.1
1695,2.9
1700,2.1
1705,3.6
1710,2.9
1715,3.6
1720,2.5
1725,3.7
1730,3.5
1735,3.8
1740,2.9
1745,2.6
1750,2.8
1755,3.1
1760,2.6
1765,2.7
1770,3.6
1775,3.8
1780,3.6
1785,3.1
1790,3.5
1795,3.1
1800,3.3
1805,2.7
1810,3.7
1815,3.3
1820,2.9
1825,3.8
1830,3.3
1835,3.8
1840,3.6
1845,2.4
1850,4.0
1855,3.7
1860,2.8
1865,3.4
1870,2.8
1875,3.0
1880,2.6
1885,2.8
1890,3.5
1895,3.7
1900,2.5
1905,3.3
1910,3.8
1915,2.7
1920,2.5
1925,3.1
1930,3.0
1935,2.8
1940,2.5
1945,2.6
1950,2.5
1955,2.0
1960,3.7
1965,3.9
1970,2.6
1975,3.4
1980,3.7
1985,3.8
1990,3.3
1995,3.6
2000,3.8
2005,2.7
2010,2.9
2015,2.1
2020,3.0
2025,2.8
2030,2.6
2035,3.2
2040,3.9
2045,3.2
2050,2.1
2055,3.1
2060,3.9
2065,3.7
2070,3.1
2075,3.5
2080,2.1
2085,2.3
2090,3.3
2095,2.7
2100,3.6
2105,3.2
2110,2.7
2115,2.9
2120,2.7
2125,2.1
2130,3.8
2135,2.1
2140,2.8
2145,2.7
2150,2.5
2155,2.3
2160,2.8
2165,2.1
2170,2.6
2175,3.2
2180,3.9
2185,3.3
2190,3.5
2195,3.9
2200,3.3
2205,2.8
2210,3.7
2215,3.1
2220,2.3
2225,2.2
2230,3.1
2235,2.1
2240,2.7
2245,2.9
2250,3.9
2255,2.5
2260,3.1
2265,2.9
2270,3.7
2275,3.1
2280,2.2
2285,3.6
2290,3.3
2295,3.7
2300,3.9
2305,2.9
2310,3.2
2315,3.7
2320,3.1
2325,2.4
2330,3.1
2335,3.3
2340,2.6
2345,3.1
2350,2.9
2355,2.5
