sekunde,poraba_kw
0,3.6
5,3.9
10,3.0
15,2.2
20,2.7
25,4.0
30,4.0
35,3.2
40,3.1
45,3.3
50,3.8
55,3.1
60,2.2
65,3.9
70,2.3
75,3.0
80,2.1
85,3.6
90,3.3
95,2.9
100,2.9
105,3.0
110,2.9
115,2.2
120,4.0
125,2.1
130,3.5
135,2.8
140,2.6
145,3.7
150,2.8
155,3.0
160,3.7
165,3.3
170,3.0
175,2.5
180,3.8
185,2.0
190,2.1
195,3.2
200,2.8
205,3.1
210,2.5
215,3.3
220,3.2
225,2.9
230,3.6
235,3.3
240,2.8
245,3.2
250,3.2
255,3.4
260,3.8
265,2.7
270,2.4
275,3.8
280,2.3
285,2.5
290,2.6
295,2.6
300,3.7
305,2.8
310,3.0
315,2.8
320,3.9
325,3.6
330,3.8
335,3.5
340,3.6
345,2.3
350,3.3
355,3.2
360,3.1
365,3.7
370,3.3
375,3.5
380,2.4
385,3.3
390,2.7
395,2.2
400,2.3
405,3.9
410,2.9
415,2.5
420,2.8
425,2.1
430,3.8
435,2.5
440,2.2
445,2.5
450,3.8
455,2.9
460,3.7
465,3.9
470,3.7
475,3.6
480,2.5
485,2.1
490,2.8
495,3.2
500,2.2
505,2.3
510,3.9
515,3.9
520,3.3
525,3.6
530,2.8
535,3.1
540,2.6
545,2.7
550,2.8
555,2.5
560,2.8
565,3.7
570,3.3
575,3.6
580,2.3
585,2.9
590,3.4
595,2.1
600,3.1
605,3.9
610,3.2
615,2.5
620,3.1
625,2.7
630,3.2
635,3.5
640,2.1
645,3.3
650,2.6
655,3.0
660,2.1
665,3.9
670,2.9
675,3.3
680,2.3
685,3.8
690,3.5
695,2.4
700,2.1
705,2.8
710,3.2
715,2.4
720,3.2
725,2.4
730,3.8
735,2.5
740,3.1
745,3.2
750,2.2
755,2.8
760,2.9
765,3.0
770,2.5
775,3.4
780,2.3
785,2.2
790,2.7
795,3.1
800,3.9
805,3.6
810,3.9
815,2.7
820,3.8
825,3.2
830,3.5
835,3.4
840,2.2
845,2.3
850,3.1
855,3.7
860,2.5
865,3.6
870,2.4
875,2.2
880,3.7
885,3.5
890,2.4
895,2.7
900,3.9
905,2.3
910,2.1
915,2.0
920,2.9
925,2.2
930,3.9
935,2.3
940,2.1
945,3.2
950,3.3
955,3.6
960,2.3
965,2.3
970,3.8
975,3.5
980,4.0
985,3.2
990,3.7
995,3.5
1000,3.4
1005,3.5
1010,2.4
1015,3.1
1020,2.6
1025,3.3
1030,3.3
1035,3.1
1040,3.0
1045,3.0
1050,3.2
1055,3.3
1060,2.9
1065,2.6
1070,3.8
1075,3.6
1080,2.6
1085,2.9
1090,3.5
1095,2.4
1100,2.5
1105,3.0
1110,3.8
1115,2.6
1120,3.6
1125,3.1
1130,3.0
1135,3.0
1140,2.7
