sekunde,poraba_kw
0,3.5
5,3.9
10,2.7
15,2.1
20,2.1
25,3.2
30,2.8
35,3.9
40,3.9
45,2.0
50,2.8
55,3.3
60,3.8
65,2.5
70,2.9
75,3.8
80,2.8
85,3.9
90,2.7
95,2.5
100,3.6
105,3.8
110,3.2
115,4.0
120,2.6
125,3.0
130,2.3
135,3.8
140,3.2
145,2.3
150,2.2
155,3.2
160,3.2
165,3.4
170,3.1
175,3.6
180,3.5
185,3.8
190,3.3
195,3.7
200,2.6
205,3.2
210,3.6
215,2.6
220,2.1
225,2.4
230,2.7
235,3.8
240,2.2
245,3.7
250,2.2
255,2.0
260,2.4
265,4.0
270,3.0
275,2.9
280,2.8
285,3.0
290,2.7
295,3.7
300,2.6
305,3.6
310,3.0
315,3.0
320,3.0
325,2.1
330,2.7
335,3.0
340,3.6
345,3.8
350,3.5
355,3.3
360,3.1
365,3.9
370,2.6
375,3.2
380,3.6
385,3.3
390,2.4
395,3.8
400,2.0
405,3.2
410,3.3
415,2.4
420,3.9
425,2.0
430,2.3
435,3.6
440,3.3
445,3.7
450,2.8
455,2.6
460,3.8
465,3.7
470,2.9
475,3.6
480,2.3
485,2.8
490,2.6
495,4.0
500,3.3
505,2.9
510,3.2
515,2.1
520,2.1
525,2.4
530,2.2
535,3.6
540,3.7
545,2.8
550,3.8
555,2.1
560,2.6
565,3.2
570,2.2
575,3.6
580,2.8
585,2.1
590,2.9
595,2.3
600,2.5
605,2.7
610,3.3
615,2.2
620,3.6
625,2.1
630,3.6
635,2.2
640,3.5
645,2.2
650,3.0
655,2.2
660,3.5
665,3.8
670,3.8
675,2.5
680,2.6
685,2.5
690,2.1
695,2.4
700,2.1
705,3.5
710,2.3
715,3.1
720,2.2
725,3.3
730,2.1
735,3.4
740,2.1
745,3.7
750,3.5
755,3.3
760,2.3
765,3.5
770,2.4
775,3.9
780,3.0
785,2.2
790,2.5
795,3.6
800,2.1
805,2.1
810,2.2
815,3.6
820,2.6
825,2.4
830,3.9
835,2.8
840,3.6
845,3.1
850,2.7
855,3.3
860,2.1
865,3.4
870,2.8
875,2.1
880,3.4
885,2.3
890,3.4
895,3.2
900,3.8
905,3.5
910,2.6
915,2.2
920,3.4
925,2.3
930,2.1
935,2.9
940,2.4
945,2.8
950,3.4
955,2.9
960,3.9
965,2.1
970,2.4
975,3.7
980,2.2
985,3.1
990,3.8
995,2.6
1000,2.4
1005,2.7
1010,3.0
1015,3.4
1020,2.5
1025,2.2
1030,3.7
1035,2.3
1040,3.1
1045,2.9
1050,2.7
1055,3.8
1060,2.8
1065,2.3
1070,3.7
1075,2.8
1080,3.3
1085,3.8
