sekunde,poraba_kw
0,2.7
5,2.2
10,3.1
15,3.7
20,2.8
25,3.7
30,3.1
35,2.8
40,3.5
45,2.1
50,3.0
55,3.4
60,2.1
65,3.7
70,2.5
75,2.3
80,2.4
85,2.8
90,2.5
95,2.0
100,3.9
105,3.3
110,3.4
115,2.7
120,2.2
125,3.7
130,2.2
135,2.0
140,3.0
145,2.4
150,3.0
155,2.7
160,3.3
165,2.1
170,3.4
175,2.5
180,2.1
185,3.2
190,2.3
195,2.1
200,2.7
205,2.9
210,3.2
215,2.9
220,3.2
225,3.2
230,2.6
235,3.1
240,2.1
245,3.0
250,2.3
255,2.9
260,2.4
265,2.1
270,3.6
275,3.4
280,3.3
285,3.8
290,2.9
295,3.4
300,2.2
305,2.9
310,3.8
315,3.2
320,3.6
325,3.2
330,2.4
335,3.1
340,2.2
345,2.6
350,2.2
355,2.2
360,3.2
365,2.6
370,2.5
375,2.8
380,3.2
385,2.9
390,4.0
395,3.5
400,2.6
405,2.3
410,2.3
415,2.5
420,3.3
425,2.5
430,2.5
435,3.7
440,2.2
445,2.6
450,3.0
455,3.6
460,3.8
465,2.7
470,2.2
475,3.3
480,2.3
485,4.0
490,2.7
495,3.4
500,2.6
505,2.5
510,2.7
515,2.0
520,2.4
525,3.7
530,2.9
535,3.8
540,3.8
545,2.1
550,3.3
555,3.5
560,3.0
565,3.7
570,2.6
575,3.2
580,2.2
585,2.7
590,2.4
595,3.9
600,2.1
605,2.5
610,2.3
615,2.9
620,3.1
625,3.6
630,2.1
635,2.5
640,3.0
645,2.7
650,2.2
655,2.3
660,2.3
665,2.2
670,2.2
675,2.2
680,2.2
685,3.1
690,3.5
695,3.2
700,3.4
705,3.1
710,2.1
715,3.6
720,3.7
725,2.9
730,2.6
735,2.9
740,2.5
745,3.0
750,2.8
755,2.7
760,3.5
765,2.3
770,2.5
775,3.0
780,2.5
785,3.1
790,2.4
795,2.5
800,3.0
805,3.8
810,2.2
815,3.0
820,3.8
825,2.8
830,3.2
835,3.9
840,2.7
845,2.8
850,3.1
855,3.0
860,3.9
865,2.3
870,3.4
875,3.7
880,3.6
885,2.7
890,3.9
895,2.4
900,3.3
905,2.6
910,2.5
915,2.2
920,3.4
925,3.9
930,2.5
935,2.2
940,3.3
945,2.6
950,2.2
955,2.7
960,4.0
965,3.9
970,2.1
975,3.4
980,3.0
985,2.2
990,3.8
995,2.6
1000,3.9
1005,3.5
1010,3.1
1015,2.9
1020,3.2
1025,3.4
1030,3.1
1035,3.0
1040,4.0
1045,3.6
1050,3.8
1055,3.2
1060,3.6
1065,2.4
1070,2.8
1075,3.6
1080,3.1
1085,2.2
1090,2.1
1095,3.5
1100,3.1
1105,3.6
1110,2.6
1115,2.4
1120,2.9
1125,3.7
1130,2.8
1135,2.2
1140,3.8
1145,2.9
1150,2.1
1155,2.9
1160,2.5
1165,2.5
1170,3.5
1175,3.4
1180,3.2
1185,2.3
1190,3.2
1195,2.2
1200,2.9
1205,3.3
1210,4.0
1215,3.8
1220,2.7
1225,2.5
1230,2.6
1235,2.5
1240,3.1
1245,3.8
1250,3.3
1255,4.0
1260,3.5
1265,2.5
1270,3.6
1275,3.0
1280,2.9
1285,3.8
1290,3.3
1295,3.7
1300,3.8
1305,2.7
1310,3.1
1315,2.7
1320,2.3
1325,3.0
1330,2.9
1335,2.5
1340,2.6
1345,3.3
1350,2.6
1355,2.6
1360,2.3
1365,2.3
1370,3.8
1375,2.5
1380,3.5
1385,2.7
1390,3.1
1395,2.8
1400,3.0
1405,3.7
1410,3.1
1415,2.2
1420,3.9
1425,3.6
1430,2.2
1435,3.8
1440,3.0
1445,3.2
1450,3.8
1455,3.7
1460,3.2
1465,3.6
1470,3.9
1475,2.5
1480,3.6
1485,3.7
1490,3.2
1495,3.5
1500,2.7
1505,2.8
1510,2.2
1515,3.1
1520,3.3
1525,2.9
1530,2.9
1535,2.6
1540,3.1
1545,2.4
1550,3.0
1555,2.6
1560,3.8
1565,2.3
1570,2.4
1575,3.4
1580,3.3
1585,3.8
1590,3.3
1595,3.3
1600,3.8
1605,2.9
1610,2.7
1615,3.9
1620,2.0
1625,2.4
1630,3.5
1635,3.2
1640,2.3
1645,3.7
1650,2.1
1655,2.7
1660,4.0
1665,2.5
1670,2.4
1675,3.7
1680,2.5
1685,3.1
1690,3.6
1695,2.5
1700,3.8
1705,2.5
1710,2.5
1715,3.8
1720,3.6
1725,3.6
1730,3.7
1735,2.7
1740,2.2
1745,2.5
1750,4.0
1755,3.9
1760,3.4
1765,3.5
1770,2.8
1775,2.8
1780,3.0
1785,3.8
1790,2.5
1795,3.3
1800,2.2
1805,2.5
1810,3.5
1815,2.8
1820,2.1
1825,2.6
1830,3.3
1835,2.6
1840,3.8
1845,2.8
1850,3.5
1855,2.0
1860,3.9
1865,2.9
1870,2.6
1875,3.8
1880,2.5
1885,2.9
1890,3.7
1895,2.7
1900,3.1
1905,2.3
1910,3.6
1915,3.8
1920,3.5
1925,3.4
1930,3.4
1935,2.2
1940,2.6
1945,2.1
1950,4.0
1955,3.1
1960,3.7
1965,3.6
1970,3.8
1975,3.5
1980,2.3
1985,2.8
1990,2.9
1995,3.2
2000,2.5
2005,3.7
2010,3.3
2015,3.0
2020,3.4
2025,3.4
2030,2.3
2035,2.6
2040,2.0
2045,2.8
2050,2.4
2055,3.5
2060,3.6
2065,3.1
2070,2.3
2075,2.2
2080,2.5
2085,3.8
2090,3.9
2095,3.0
2100,3.8
2105,3.3
2110,3.6
2115,3.8
2120,3.1
2125,3.6
2130,2.0
2135,3.5
2140,3.4
2145,2.7
2150,3.8
2155,2.1
2160,2.7
2165,3.9
2170,3.5
2175,2.5
2180,3.5
2185,2.6
2190,3.6
2195,2.8
2200,3.1
2205,3.5
2210,3.0
2215,3.1
2220,2.9
2225,2.6
2230,2.1
2235,2.9
2240,3.1
2245,2.4
2250,2.3
2255,2.4
2260,3.4
2265,3.8
2270,3.2
2275,2.9
2280,2.5
2285,3.1
2290,2.9
2295,2.3
2300,3.6
2305,3.9
2310,3.5
2315,2.7
2320,3.3
2325,3.7
2330,2.3
2335,3.4
2340,3.4
2345,2.4
2350,2.3
2355,3.2
2360,3.5
2365,2.5
2370,3.5
2375,2.5
2380,2.7
2385,2.0
2390,2.4
2395,3.2
2400,3.4
2405,2.6
2410,2.6
2415,3.3
2420,3.1
2425,2.3
2430,2.4
2435,3.9
2440,3.7
2445,2.8
2450,2.6
2455,2.1
2460,3.8
2465,2.8
2470,2.8
2475,2.1
2480,3.3
2485,3.6
2490,3.9
2495,3.1
2500,3.1
2505,2.3
2510,2.6
2515,3.1
2520,3.0
2525,3.2
2530,2.1
2535,3.8
2540,2.0
2545,2.6
2550,3.5
2555,3.3
2560,3.1
2565,3.3
2570,2.4
2575,3.3
2580,2.6
2585,2.2
2590,2.6
2595,3.6
2600,4.0
2605,2.6
2610,3.3
2615,3.1
2620,3.7
2625,3.3
2630,2.5
2635,2.8
2640,3.7
2645,2.2
2650,2.4
2655,3.7
2660,3.4
2665,2.2
2670,2.2
2675,3.9
2680,3.0
2685,2.4
2690,3.4
2695,3.6
2700,2.2
2705,3.0
2710,4.0
2715,2.3
2720,2.6
2725,2.1
2730,2.1
2735,3.8
2740,2.4
2745,2.9
2750,2.8
2755,2.4
2760,3.7
2765,2.8
2770,2.5
2775,2.9
2780,3.5
2785,2.8
2790,3.3
2795,2.5
2800,3.9
2805,2.6
2810,2.2
2815,2.7
2820,2.7
2825,3.8
2830,3.3
2835,2.2
2840,3.0
2845,3.2
2850,3.2
2855,3.5
2860,3.2
2865,3.6
2870,2.7
2875,3.9
2880,3.5
2885,2.4
2890,2.6
2895,3.3
2900,2.1
2905,2.8
2910,3.6
2915,2.6
2920,2.6
2925,3.5
2930,3.2
2935,3.2
2940,3.7
2945,3.4
2950,3.6
2955,3.3
2960,3.9
2965,3.7
2970,3.0
2975,2.6
2980,2.3
2985,2.6
2990,2.8
2995,3.1
3000,2.7
3005,3.7
3010,3.0
3015,2.3
3020,3.5
3025,3.4
3030,2.3
3035,2.1
3040,3.1
3045,2.7
3050,3.6
3055,3.7
3060,3.1
3065,3.2
3070,2.1
3075,2.5
3080,2.0
3085,3.1
3090,2.6
3095,2.4
3100,2.5
3105,3.6
3110,2.5
3115,3.9
3120,2.1
3125,3.0
3130,2.6
3135,3.0
3140,2.6
3145,3.3
3150,3.1
3155,2.0
3160,2.2
3165,3.0
3170,3.7
3175,3.4
3180,3.1
3185,4.0
3190,3.2
3195,3.7
3200,2.2
3205,3.1
3210,2.7
3215,3.6
3220,2.9
3225,3.5
3230,3.8
3235,3.5
3240,3.1
3245,3.5
3250,3.4
3255,2.3
3260,2.7
3265,2.1
3270,2.5
3275,3.2
3280,3.8
3285,2.2
3290,2.4
3295,4.0
3300,4.0
3305,2.2
3310,3.2
3315,2.0
3320,3.8
3325,3.1
3330,3.9
3335,2.4
3340,3.8
3345,2.1
3350,3.9
3355,3.0
3360,2.1
3365,2.9
3370,2.7
3375,3.5
3380,3.8
3385,2.3
3390,3.8
3395,2.7
3400,3.1
3405,2.7
3410,2.9
3415,2.8
3420,3.9
3425,3.9
3430,2.5
3435,3.4
3440,3.4
3445,2.2
3450,3.1
3455,3.3
3460,2.3
3465,2.5
3470,3.2
3475,2.4
3480,2.4
3485,3.5
3490,3.3
3495,2.6
3500,3.9
3505,3.3
3510,2.4
3515,3.9
3520,3.1
3525,3.2
3530,2.8
3535,2.4
3540,3.0
3545,3.2
3550,2.3
3555,2.2
3560,2.0
3565,3.9
3570,2.7
3575,2.9
3580,2.6
3585,3.8
3590,4.0
3595,3.9
3600,2.9
3605,2.9
3610,3.5
3615,2.5
3620,3.2
3625,3.2
3630,3.6
3635,2.9
3640,2.9
3645,3.8
3650,3.7
3655,3.0
3660,2.5
3665,3.4
3670,3.7
3675,3.2
3680,2.2
3685,2.3
3690,2.1
3695,3.1
3700,3.8
3705,2.5
3710,3.3
3715,3.4
3720,2.4
3725,3.5
3730,3.9
3735,2.3
3740,2.1
3745,3.0
3750,3.5
3755,2.6
3760,3.3
3765,3.6
3770,3.6
3775,3.1
3780,2.6
3785,3.5
3790,2.9
3795,3.1
3800,3.4
3805,3.9
3810,2.5
3815,2.3
3820,3.4
3825,3.9
3830,2.8
3835,3.6
3840,2.0
3845,3.6
3850,2.4
3855,3.9
3860,2.8
3865,3.9
3870,2.6
3875,2.2
3880,3.4
3885,3.0
3890,2.3
3895,3.2
3900,3.8
3905,2.7
3910,2.7
3915,3.2
3920,2.7
3925,3.1
3930,4.0
3935,2.9
3940,3.2
3945,3.1
3950,3.5
3955,2.8
3960,3.3
3965,2.2
3970,3.5
3975,3.2
3980,2.8
3985,2.6
3990,2.5
3995,2.8
4000,2.3
4005,2.9
4010,2.0
4015,3.2
4020,3.1
4025,3.8
4030,3.0
4035,3.3
4040,3.0
4045,2.2
4050,2.5
4055,3.8
4060,2.7
4065,3.6
4070,3.0
4075,3.8
4080,2.2
4085,4.0
4090,3.4
4095,3.7
4100,2.4
4105,3.1
4110,3.5
4115,3.8
4120,3.5
4125,3.2
4130,3.8
4135,2.7
4140,2.4
4145,3.4
4150,2.6
4155,2.7
4160,3.2
4165,3.9
4170,3.1
4175,3.5
4180,2.5
4185,3.7
4190,3.5
4195,3.6
4200,3.3
4205,3.9
4210,2.4
4215,2.1
4220,2.8
4225,2.6
4230,2.5
4235,2.2
4240,2.7
4245,2.4
4250,3.4
4255,2.9
4260,3.7
4265,2.1
4270,2.5
4275,3.1
4280,2.4
4285,2.2
4290,2.7
4295,3.5
4300,4.0
4305,3.4
4310,2.7
4315,2.8
4320,3.7
4325,3.5
4330,2.4
4335,3.0
4340,3.5
4345,2.9
4350,3.1
4355,4.0
4360,2.4
4365,3.4
4370,3.3
4375,2.1
4380,3.2
4385,2.0
4390,3.8
4395,3.1
4400,2.6
4405,2.1
4410,2.4
4415,3.1
4420,3.9
4425,3.1
4430,2.8
4435,2.6
4440,2.4
4445,2.5
4450,3.4
4455,2.5
4460,3.9
4465,3.5
4470,3.2
4475,3.7
4480,2.1
4485,2.4
4490,3.4
4495,3.5
4500,2.3
4505,2.3
4510,3.7
4515,2.8
4520,3.1
4525,3.7
4530,3.0
4535,2.6
4540,2.3
4545,2.4
4550,2.7
4555,3.9
4560,3.5
4565,2.4
4570,3.2
4575,2.9
4580,4.0
4585,3.0
4590,2.0
4595,3.3
4600,3.7
4605,3.5
4610,3.6
4615,3.7
4620,2.8
4625,2.3
4630,2.7
4635,3.4
4640,2.1
4645,2.2
4650,3.8
4655,2.3
4660,3.8
4665,3.2
4670,3.8
4675,2.0
4680,3.1
4685,2.5
4690,3.2
4695,2.3
4700,2.0
4705,2.3
4710,3.3
4715,2.6
4720,2.5
4725,2.2
4730,2.1
4735,2.2
4740,2.7
4745,2.5
4750,2.5
4755,3.7
4760,2.4
4765,2.4
4770,3.2
4775,2.4
4780,3.7
4785,3.7
4790,3.0
4795,3.1
4800,3.7
4805,3.6
4810,2.7
4815,3.7
4820,3.2
4825,2.6
4830,3.8
4835,3.5
4840,2.7
4845,2.3
4850,3.4
4855,2.3
4860,2.2
4865,2.2
4870,3.1
4875,2.7
4880,3.8
4885,2.7
4890,3.3
4895,4.0
4900,2.6
4905,3.6
4910,3.9
4915,3.8
4920,3.8
4925,2.3
4930,2.5
4935,2.8
4940,2.5
4945,3.4
4950,2.5
4955,2.6
4960,3.5
4965,3.7
4970,2.2
4975,3.1
4980,3.8
4985,3.1
4990,3.0
4995,4.0
5000,2.2
5005,2.0
5010,3.8
5015,2.1
5020,3.4
5025,2.6
5030,3.4
5035,2.9
5040,2.0
5045,3.4
5050,3.6
5055,3.5
5060,2.3
5065,2.9
5070,2.2
5075,4.0
5080,3.9
5085,2.7
5090,2.1
5095,3.8
5100,2.7
5105,2.3
5110,2.6
5115,3.2
5120,3.2
5125,2.3
5130,2.3
5135,3.1
5140,2.9
5145,3.7
5150,3.0
5155,2.9
5160,3.7
5165,2.6
5170,2.1
5175,3.8
5180,2.5
5185,2.1
5190,2.5
5195,3.3
5200,3.2
5205,2.4
5210,3.4
5215,3.9
5220,3.4
5225,3.2
5230,2.6
5235,2.1
5240,3.6
5245,3.6
5250,2.2
5255,3.7
5260,3.8
5265,3.0
5270,2.7
5275,2.2
5280,3.1
5285,4.0
5290,2.4
5295,3.7
5300,3.4
5305,2.1
5310,2.7
5315,3.3
5320,3.8
5325,3.0
5330,2.1
5335,3.0
