sekunde,poraba_kw
0,3.2
5,3.3
10,3.3
15,3.8
20,2.3
25,3.3
30,3.5
35,3.4
40,3.6
45,3.8
50,4.0
55,3.5
60,3.1
65,2.9
70,3.1
75,2.6
80,2.9
85,3.9
90,3.1
95,2.9
100,3.3
105,2.0
110,3.4
115,2.3
120,3.0
125,3.9
130,2.5
135,2.8
140,3.7
145,2.5
150,2.2
155,2.7
160,4.0
165,2.4
170,2.9
175,3.4
180,3.3
185,3.4
190,2.2
195,2.2
200,2.2
205,3.2
210,3.3
215,3.6
220,2.9
225,2.4
230,2.7
235,2.5
240,2.5
245,2.2
250,3.6
255,3.2
260,2.4
265,3.9
270,3.5
275,3.1
280,3.0
285,3.0
290,2.7
295,2.7
300,2.4
305,3.6
310,3.8
315,2.1
320,4.0
325,3.6
330,2.2
335,3.3
340,3.9
345,2.9
350,2.9
355,3.1
360,3.7
365,3.0
370,2.2
375,3.1
380,3.8
385,2.4
390,3.2
395,3.1
400,4.0
405,2.7
410,3.0
415,2.2
420,3.6
425,3.3
430,2.2
435,3.8
440,2.9
445,3.9
450,2.7
455,2.0
460,2.1
465,2.2
470,2.7
475,3.4
480,2.1
485,2.0
490,3.4
495,2.7
500,3.1
505,3.8
510,3.4
515,2.2
520,2.0
525,2.1
530,3.2
535,2.2
540,3.1
545,2.4
550,3.3
555,3.9
560,3.6
565,3.0
570,3.2
575,3.3
580,3.3
585,3.4
590,3.7
595,3.4
600,2.7
605,2.5
610,3.1
615,3.4
620,2.2
625,2.3
630,3.2
635,4.0
640,3.1
645,3.1
650,3.8
655,2.0
660,2.7
665,3.2
670,3.9
675,3.6
680,2.3
685,3.2
690,2.2
695,3.0
700,3.7
705,3.0
710,2.4
715,3.2
720,3.4
725,2.1
730,3.8
735,2.5
740,2.0
745,2.7
750,2.6
755,2.8
760,3.7
765,2.1
770,3.4
775,3.0
780,2.5
785,3.4
790,3.1
795,3.7
800,2.5
805,2.3
810,2.6
815,3.4
820,2.8
825,3.3
830,3.6
835,3.7
840,3.7
845,3.2
850,2.3
855,3.7
860,2.0
865,2.0
870,2.2
875,2.6
880,3.6
885,3.5
890,3.7
895,3.0
900,2.2
905,3.5
910,2.6
915,3.1
920,2.6
925,2.4
930,3.0
935,2.3
940,3.5
945,2.8
950,3.4
955,2.1
960,3.3
965,3.0
970,2.8
975,3.6
980,2.7
985,2.7
990,2.4
995,2.7
1000,2.2
1005,3.6
1010,3.3
1015,2.2
1020,3.8
1025,2.3
1030,3.1
1035,3.7
1040,3.9
1045,3.9
1050,3.1
1055,3.2
