sekunde,poraba_kw
0,2.8
5,3.5
10,3.3
15,3.9
20,3.2
25,3.0
30,2.3
35,3.9
40,3.9
45,3.0
50,2.4
55,2.4
60,3.0
65,2.5
70,3.2
75,3.0
80,2.2
85,3.2
90,2.2
95,3.2
100,2.7
105,2.1
110,3.6
115,2.7
120,2.8
125,3.5
130,2.1
135,2.6
140,3.6
145,2.7
150,3.0
155,2.7
160,2.7
165,3.3
170,2.4
175,3.7
180,3.0
185,3.8
190,3.0
195,3.6
200,2.7
205,3.9
210,2.1
215,3.9
220,3.0
225,3.1
230,3.7
235,2.8
240,3.9
245,3.5
250,2.6
255,3.7
260,2.5
265,3.0
270,2.4
275,2.9
280,3.3
285,3.3
290,2.3
295,2.5
300,3.3
305,3.2
310,2.3
315,2.0
320,3.9
325,3.9
330,2.9
335,3.9
340,2.1
345,2.8
350,3.1
355,2.2
360,3.1
365,2.5
370,2.1
375,2.1
380,3.3
385,3.5
390,3.9
395,4.0
400,2.2
405,3.8
410,3.8
415,2.3
420,2.6
425,2.5
430,3.6
435,2.3
440,2.4
445,2.9
450,2.8
455,3.9
460,2.2
465,3.9
470,2.2
475,2.4
480,3.1
485,3.3
490,3.7
495,3.0
500,3.2
505,4.0
510,2.7
515,3.3
520,2.0
525,3.5
530,2.1
535,3.4
540,2.9
545,2.2
550,3.9
555,3.7
560,2.2
565,3.4
570,2.5
575,2.9
580,2.7
585,2.9
590,2.7
595,2.5
600,2.7
605,3.6
610,3.5
615,3.9
620,2.1
625,2.4
630,2.9
635,2.2
640,3.9
645,3.3
650,3.6
655,3.9
660,3.1
665,3.6
670,3.8
675,3.3
680,2.7
685,2.9
690,2.1
695,2.1
700,2.1
705,2.3
710,3.6
715,3.9
720,2.1
725,2.0
730,3.9
735,3.7
740,3.6
745,3.4
750,2.3
755,3.2
760,3.7
765,2.5
770,2.6
775,2.6
780,4.0
785,3.6
790,3.0
795,2.4
800,3.9
805,3.4
810,2.1
815,3.5
820,3.1
825,3.5
830,3.1
835,2.1
840,3.4
845,3.8
850,2.5
855,3.3
860,3.1
865,3.5
870,3.3
875,3.0
880,3.4
885,3.3
890,3.3
895,2.7
900,2.4
905,3.4
910,3.9
915,3.4
920,2.8
925,2.9
930,3.8
935,2.9
940,3.2
945,3.3
950,4.0
955,3.0
960,3.5
965,3.2
970,3.9
975,3.7
980,3.5
985,2.1
990,3.1
995,2.1
1000,3.9
1005,2.9
1010,2.1
1015,3.1
1020,3.5
1025,3.7
1030,3.0
1035,2.8
1040,2.7
1045,3.1
1050,2.4
1055,3.6
1060,2.4
1065,3.1
1070,3.5
1075,2.9
1080,3.7
1085,2.3
1090,3.2
1095,3.9
1100,2.6
1105,3.3
1110,3.4
1115,3.9
1120,2.7
1125,3.5
1130,2.8
1135,3.7
1140,3.2
1145,2.8
1150,2.2
1155,2.2
1160,2.2
1165,3.1
1170,2.5
1175,2.5
1180,3.1
1185,2.7
1190,2.6
1195,2.7
1200,3.1
1205,2.1
1210,3.4
1215,2.5
1220,3.8
1225,2.3
1230,2.5
1235,3.9
1240,4.0
1245,2.6
1250,3.4
1255,2.6
1260,3.8
1265,4.0
1270,3.7
1275,3.4
1280,3.9
1285,3.1
1290,2.2
1295,3.7
1300,2.0
1305,3.3
1310,3.2
1315,3.1
1320,3.8
1325,3.8
1330,3.3
1335,3.9
1340,3.1
1345,2.2
1350,3.3
1355,3.1
1360,3.4
1365,3.0
1370,2.7
1375,3.0
1380,2.6
1385,3.4
1390,3.7
1395,2.9
1400,2.2
1405,2.7
1410,3.9
1415,3.5
1420,2.3
1425,3.0
1430,3.2
1435,3.9
1440,2.6
1445,2.3
1450,3.3
1455,2.9
1460,2.3
1465,3.6
1470,3.4
1475,3.1
1480,3.7
1485,2.1
1490,2.6
1495,2.3
1500,2.7
1505,2.8
1510,2.0
1515,2.7
1520,3.1
1525,3.9
1530,3.5
1535,2.2
1540,2.8
1545,3.2
1550,2.9
1555,2.3
1560,3.5
1565,2.7
1570,3.0
1575,2.0
1580,2.3
1585,3.9
1590,3.0
1595,3.0
1600,3.9
1605,2.6
1610,2.8
1615,2.5
1620,3.0
1625,2.9
1630,4.0
1635,3.4
1640,2.4
1645,3.0
1650,2.7
1655,2.9
1660,2.1
1665,3.2
1670,3.0
1675,3.1
1680,3.6
1685,3.3
1690,3.4
1695,3.7
1700,3.2
1705,3.2
1710,3.9
1715,2.8
1720,2.4
1725,2.4
1730,3.2
1735,3.1
1740,2.5
1745,3.8
1750,2.0
1755,2.1
1760,2.7
1765,3.5
1770,2.9
1775,3.7
1780,3.8
1785,3.8
1790,3.7
1795,3.1
1800,3.1
1805,2.2
1810,2.3
1815,2.6
1820,3.3
1825,2.2
1830,2.2
1835,3.7
1840,2.9
1845,3.8
1850,2.9
1855,3.7
1860,3.5
1865,3.3
1870,2.8
1875,2.7
1880,2.3
1885,2.4
1890,3.2
1895,2.2
1900,3.9
1905,3.8
1910,2.9
1915,3.3
1920,3.7
1925,3.3
1930,3.2
1935,3.3
1940,3.3
1945,3.9
1950,2.0
1955,2.2
1960,3.8
1965,3.4
1970,3.4
1975,2.4
1980,2.1
1985,3.9
1990,2.6
1995,2.6
2000,2.3
2005,3.8
2010,2.5
2015,3.7
2020,3.2
2025,3.5
2030,2.8
2035,3.7
2040,2.4
2045,3.0
2050,2.6
2055,3.9
2060,3.6
2065,3.2
2070,3.6
2075,3.5
2080,2.3
2085,2.2
2090,2.6
2095,3.9
2100,2.6
2105,3.5
2110,3.2
2115,2.9
2120,2.6
2125,2.2
2130,2.0
2135,4.0
2140,3.3
2145,2.1
2150,3.7
2155,4.0
2160,3.3
2165,3.4
2170,3.6
2175,2.3
2180,3.2
2185,3.1
2190,2.7
2195,3.3
2200,3.7
2205,3.3
2210,3.8
2215,3.4
2220,2.3
2225,2.9
2230,3.6
2235,2.3
2240,2.9
2245,3.1
2250,3.4
2255,2.5
2260,2.0
2265,3.2
2270,3.3
2275,3.6
2280,3.0
2285,3.9
2290,2.3
2295,3.8
2300,3.1
2305,2.3
2310,2.0
2315,2.6
2320,3.8
2325,3.5
2330,2.3
2335,3.4
2340,3.9
2345,2.9
2350,3.5
2355,3.3
2360,4.0
2365,2.6
2370,3.7
2375,2.7
2380,3.9
2385,2.5
2390,3.8
2395,2.1
2400,2.2
2405,3.4
2410,2.8
2415,3.5
2420,3.1
2425,3.6
2430,4.0
2435,2.0
2440,2.4
2445,2.2
2450,3.2
2455,2.5
2460,3.4
2465,2.4
2470,2.0
2475,3.2
2480,2.8
2485,2.9
2490,2.9
2495,3.8
2500,3.7
2505,2.0
2510,3.5
2515,4.0
2520,3.8
2525,2.4
2530,3.6
2535,2.6
2540,3.7
2545,2.0
2550,3.8
2555,3.0
2560,3.7
2565,3.7
2570,2.5
2575,3.6
2580,2.0
2585,2.2
2590,2.4
2595,3.2
2600,3.9
2605,3.2
2610,2.6
2615,3.9
2620,3.7
2625,2.1
2630,3.9
2635,2.4
2640,2.2
2645,2.6
2650,2.4
2655,2.8
2660,3.0
2665,3.0
2670,3.7
2675,2.4
2680,2.1
2685,3.7
2690,2.9
2695,2.0
2700,4.0
2705,2.2
2710,3.3
2715,2.8
2720,3.4
2725,2.1
2730,2.3
2735,2.0
2740,2.2
2745,4.0
2750,3.0
2755,2.1
2760,2.4
2765,2.7
2770,2.2
2775,2.3
2780,2.2
2785,2.7
2790,2.6
2795,2.6
2800,3.3
2805,3.6
2810,2.5
2815,3.2
2820,3.4
2825,2.3
2830,3.4
2835,3.5
2840,3.0
2845,3.9
2850,3.2
2855,3.4
2860,2.4
2865,2.3
2870,2.6
2875,2.6
2880,3.6
2885,3.3
2890,2.8
2895,3.1
2900,2.3
2905,3.3
2910,2.5
2915,3.8
2920,3.5
2925,3.6
2930,3.6
2935,3.8
2940,3.0
2945,3.2
2950,3.9
2955,3.2
2960,2.5
2965,3.0
2970,2.3
2975,2.4
2980,2.9
2985,2.4
2990,3.0
2995,3.0
3000,2.9
3005,3.5
3010,2.2
3015,3.3
3020,2.3
3025,3.7
3030,2.0
3035,2.4
3040,2.2
3045,3.4
3050,2.9
3055,3.9
3060,3.2
3065,2.2
3070,3.7
3075,2.8
3080,3.1
3085,2.6
3090,3.6
3095,3.5
3100,2.9
3105,2.1
3110,3.3
3115,2.4
3120,2.9
3125,4.0
3130,2.0
3135,3.3
3140,3.8
3145,3.6
3150,3.7
3155,2.8
3160,2.2
3165,2.4
3170,3.4
3175,3.6
3180,2.1
3185,3.6
3190,2.5
3195,2.7
3200,2.8
3205,2.0
3210,3.4
3215,3.2
3220,3.4
3225,3.7
3230,3.1
3235,4.0
3240,3.8
3245,3.7
3250,3.5
3255,2.9
3260,2.8
3265,3.7
3270,3.4
3275,3.3
3280,3.4
3285,3.5
3290,2.5
3295,2.8
3300,2.4
3305,3.9
3310,2.0
3315,3.5
3320,4.0
3325,2.4
3330,3.1
3335,2.9
3340,2.4
3345,2.3
3350,3.6
3355,3.8
3360,3.5
3365,4.0
3370,3.9
3375,3.9
3380,3.5
3385,3.9
3390,2.9
3395,3.1
3400,3.7
3405,3.1
3410,2.3
3415,3.8
3420,2.6
3425,3.5
3430,2.6
3435,3.6
3440,2.2
3445,3.8
3450,2.3
3455,3.6
3460,2.5
3465,2.9
3470,3.4
3475,3.8
3480,3.6
3485,2.4
3490,2.7
3495,2.6
3500,3.4
3505,2.9
3510,2.1
3515,3.2
3520,2.2
3525,3.5
3530,2.8
3535,3.6
3540,3.7
3545,3.5
3550,3.9
3555,2.5
3560,3.8
3565,3.6
3570,3.9
3575,2.9
3580,2.5
3585,3.5
3590,3.5
3595,2.7
3600,2.5
3605,3.6
3610,4.0
3615,2.8
3620,2.3
3625,3.0
3630,3.8
3635,3.2
3640,2.4
3645,3.5
3650,3.0
3655,3.8
3660,3.9
3665,3.8
3670,2.3
3675,3.3
3680,3.2
3685,3.8
3690,2.2
3695,3.6
3700,3.0
3705,4.0
3710,3.0
3715,3.9
3720,2.1
3725,3.6
3730,2.9
3735,3.6
3740,3.4
3745,3.2
3750,2.4
3755,2.2
3760,2.2
3765,3.7
3770,2.3
3775,2.8
3780,3.7
3785,3.2
3790,3.9
3795,3.7
3800,3.0
3805,2.3
3810,2.6
3815,3.7
3820,4.0
3825,2.9
3830,2.5
3835,2.4
3840,3.1
3845,3.1
3850,3.5
3855,3.9
3860,3.1
3865,3.7
3870,3.7
3875,2.9
3880,2.8
3885,2.1
3890,2.3
3895,2.5
3900,3.3
3905,2.8
3910,2.1
3915,3.0
3920,3.4
3925,3.7
3930,2.1
3935,3.1
3940,2.4
3945,3.7
3950,3.9
3955,3.2
3960,3.1
3965,3.7
3970,2.7
3975,3.2
3980,3.2
3985,3.0
3990,2.4
