sekunde,poraba_kw
0,2.6
5,2.2
10,2.9
15,3.1
20,2.2
25,3.1
30,2.4
35,2.4
40,3.5
45,4.0
50,2.2
55,2.5
60,3.2
65,3.5
70,4.0
75,3.7
80,3.7
85,2.1
90,3.1
95,3.7
100,2.6
105,3.4
110,2.3
115,2.1
120,3.7
125,3.9
130,3.7
135,3.6
140,2.0
145,2.5
150,4.0
155,2.7
160,3.5
165,2.1
170,2.4
175,2.3
180,2.5
185,3.4
190,3.2
195,2.5
200,3.2
205,2.2
210,2.0
215,2.2
220,3.8
225,2.2
230,2.0
235,3.9
240,3.8
245,2.4
250,2.8
255,2.2
260,3.4
265,2.7
270,3.1
275,2.2
280,3.5
285,2.6
290,3.7
295,3.9
300,2.5
305,3.6
310,2.7
315,3.9
320,3.1
325,2.8
330,3.6
335,3.2
340,3.7
345,2.2
350,2.2
355,3.1
360,3.6
365,3.8
370,3.8
375,3.0
380,2.1
385,2.7
390,3.8
395,2.1
400,2.6
405,3.7
410,2.1
415,2.6
420,3.4
425,3.6
430,3.5
435,2.3
440,2.4
445,2.7
450,2.9
455,3.6
460,2.8
465,4.0
470,2.3
475,3.6
480,2.7
485,3.4
490,3.2
495,3.4
500,3.9
505,3.0
510,2.3
515,2.2
520,2.3
525,3.8
530,3.5
535,2.0
540,4.0
545,2.4
550,2.5
555,3.4
560,2.6
565,2.5
570,3.8
575,2.1
580,3.3
585,2.6
590,3.6
595,2.7
600,3.8
605,2.4
610,3.0
615,3.4
620,2.1
625,3.3
630,2.1
635,3.0
640,3.1
645,3.3
650,2.4
655,3.4
660,3.4
665,2.5
670,3.0
675,2.4
680,2.0
685,2.2
690,2.6
695,3.6
700,3.6
705,2.9
710,2.2
715,2.2
720,2.8
725,3.8
730,2.3
735,3.8
740,3.8
745,2.7
750,3.3
755,3.9
760,2.5
765,2.8
770,2.9
775,2.8
780,3.0
785,2.0
790,3.4
795,2.2
800,2.2
805,3.0
810,3.0
815,2.0
820,2.7
825,3.6
830,3.1
835,2.3
840,2.4
845,2.8
850,3.4
855,3.2
860,3.2
865,3.7
870,3.9
875,3.7
880,3.4
885,3.7
890,2.4
895,2.8
900,3.9
905,2.0
910,3.9
915,2.1
920,4.0
925,3.9
930,2.2
935,2.7
940,2.5
945,3.9
950,2.6
955,2.0
960,3.9
965,2.5
970,2.2
975,2.1
980,3.8
985,2.4
990,2.9
995,2.3
1000,3.4
1005,2.6
1010,3.4
1015,2.4
1020,2.3
1025,3.0
1030,2.3
1035,3.4
1040,2.9
1045,3.8
1050,3.4
1055,3.6
1060,2.8
1065,2.5
1070,2.5
1075,2.5
1080,2.7
1085,3.3
1090,2.3
1095,4.0
1100,2.1
1105,3.2
1110,3.7
1115,2.0
1120,3.6
1125,2.7
1130,2.8
1135,2.5
1140,2.4
1145,3.3
1150,3.9
1155,3.9
1160,3.8
1165,3.1
1170,3.3
1175,3.7
1180,3.9
1185,2.6
1190,3.4
1195,2.3
1200,3.8
1205,3.6
1210,3.5
1215,3.3
1220,3.2
1225,3.2
1230,3.0
1235,3.9
1240,2.5
1245,3.7
1250,2.4
1255,2.5
1260,3.1
1265,3.0
1270,3.2
1275,2.2
1280,3.9
1285,2.7
1290,2.8
1295,2.5
1300,3.8
1305,3.7
1310,2.2
1315,3.4
1320,2.9
1325,2.7
1330,3.2
1335,2.1
1340,2.8
1345,2.1
1350,3.4
1355,2.3
1360,3.5
1365,2.3
1370,2.9
1375,2.7
1380,2.6
1385,3.7
1390,3.6
1395,2.2
1400,3.1
1405,2.1
1410,3.8
1415,3.7
1420,3.2
1425,2.6
1430,2.7
1435,2.3
1440,2.5
1445,3.5
1450,2.7
1455,3.4
1460,3.3
1465,2.1
1470,2.5
1475,3.8
1480,3.7
1485,2.4
