sekunde,poraba_kw
0,3.7
5,2.4
10,3.0
15,3.0
20,3.6
25,2.5
30,3.2
35,2.6
40,2.9
45,2.8
50,3.7
55,2.5
60,2.6
65,3.5
70,2.9
75,3.4
80,2.4
85,2.6
90,2.7
95,3.7
100,3.0
105,3.5
110,2.8
115,3.2
120,2.6
125,2.9
130,3.0
135,3.0
140,3.2
145,2.3
150,2.6
155,3.1
160,2.7
165,3.6
170,2.6
175,2.4
180,3.9
185,3.9
190,2.9
195,2.7
200,3.0
205,3.8
210,2.0
215,2.8
220,3.0
225,2.9
230,4.0
235,2.0
240,2.9
245,4.0
250,2.4
255,2.2
260,2.5
265,3.8
270,4.0
275,2.9
280,3.4
285,3.9
290,3.5
295,3.5
300,2.8
305,3.4
310,2.4
315,3.6
320,3.9
325,3.5
330,2.1
335,3.9
340,3.1
345,4.0
350,3.0
355,3.2
360,2.1
365,2.0
370,2.1
375,2.2
380,3.7
385,2.7
390,2.8
395,2.7
400,2.1
405,3.5
410,3.5
415,2.4
420,3.8
425,2.9
430,3.1
435,3.3
440,2.3
445,4.0
450,3.2
455,2.5
460,2.5
465,2.6
470,2.8
475,3.1
480,4.0
485,2.4
490,2.1
495,3.5
500,3.0
505,2.9
510,2.8
515,3.2
520,3.2
525,2.7
530,4.0
535,3.6
540,3.0
545,3.6
550,2.4
555,2.3
560,3.3
565,3.1
570,3.4
575,2.8
580,2.8
585,3.4
590,2.3
595,2.4
600,3.8
605,2.9
610,2.7
615,3.9
620,3.4
625,3.3
630,2.6
635,3.4
640,2.7
645,3.5
650,3.1
655,2.4
660,2.5
665,2.6
670,3.6
675,2.0
680,3.1
685,3.9
690,3.9
695,2.9
700,4.0
705,2.8
710,3.1
715,2.4
720,3.2
725,2.7
730,3.4
735,3.9
740,3.0
745,2.7
750,3.2
755,3.5
760,2.7
765,2.4
770,2.6
775,3.1
780,3.9
785,3.5
790,3.7
795,3.3
800,3.1
805,2.5
810,3.1
815,3.2
820,2.5
825,3.3
830,3.3
835,2.3
840,3.0
845,3.4
850,2.4
855,3.7
860,3.8
865,3.4
870,3.0
875,3.1
880,2.3
885,2.7
890,2.6
895,2.3
900,3.5
905,3.1
910,3.9
915,2.2
920,2.0
925,2.5
930,2.8
935,4.0
940,3.3
945,3.7
950,3.7
955,3.5
960,3.7
965,2.7
970,2.5
975,3.3
980,3.1
985,3.7
990,2.0
995,3.3
1000,2.3
1005,3.8
1010,2.3
1015,3.2
1020,2.2
1025,3.6
1030,3.7
1035,2.6
1040,3.7
1045,3.6
1050,3.0
1055,2.3
1060,2.6
1065,3.2
1070,2.4
1075,3.6
1080,2.8
1085,2.2
1090,3.1
1095,2.1
1100,3.3
1105,3.8
1110,2.2
1115,2.8
1120,2.7
1125,2.9
1130,3.2
1135,3.0
1140,3.1
1145,2.1
1150,2.0
1155,4.0
1160,2.0
1165,3.4
1170,3.6
1175,3.4
1180,3.2
1185,2.1
1190,2.9
1195,3.2
1200,3.4
1205,2.5
1210,2.2
1215,3.1
1220,3.7
1225,3.8
1230,4.0
1235,3.9
1240,3.5
1245,3.1
1250,2.4
1255,3.8
1260,2.1
1265,2.7
1270,3.3
1275,2.4
1280,2.3
1285,2.1
1290,3.4
1295,3.2
1300,3.0
1305,2.7
1310,3.1
1315,3.6
1320,3.5
1325,2.8
1330,3.8
1335,2.6
1340,3.4
1345,2.8
1350,2.4
1355,2.5
1360,3.6
1365,3.1
1370,2.8
1375,3.9
1380,2.6
1385,2.1
1390,3.8
1395,2.2
1400,3.1
1405,3.2
1410,3.2
1415,3.2
1420,3.9
1425,2.8
1430,3.2
1435,3.2
1440,2.9
1445,3.4
1450,2.0
1455,3.8
1460,3.6
1465,2.3
1470,3.5
1475,3.8
1480,2.0
1485,2.1
1490,2.1
1495,3.2
1500,2.5
1505,2.2
1510,2.3
1515,3.1
1520,4.0
1525,3.6
1530,3.0
1535,2.6
1540,2.2
1545,2.7
1550,3.5
1555,2.1
1560,3.2
1565,3.9
1570,2.9
1575,3.7
1580,2.5
1585,3.2
1590,3.1
1595,4.0
1600,3.6
1605,3.1
1610,2.8
1615,2.6
1620,3.1
1625,3.1
1630,2.8
1635,3.6
1640,2.8
1645,2.2
1650,2.4
1655,3.9
1660,2.2
1665,2.6
1670,3.3
1675,3.2
1680,2.8
1685,3.1
1690,4.0
1695,2.4
1700,2.1
1705,2.6
1710,3.0
1715,3.4
1720,2.6
1725,2.5
1730,3.6
1735,2.3
1740,3.7
1745,2.9
1750,3.9
1755,3.0
1760,2.0
1765,3.7
1770,2.3
1775,4.0
1780,3.0
1785,3.3
1790,2.9
1795,3.7
1800,2.4
1805,2.9
1810,2.6
1815,3.2
1820,3.2
1825,2.0
1830,2.9
1835,3.0
1840,2.7
1845,3.4
1850,2.3
1855,2.7
1860,2.5
1865,3.2
1870,2.1
1875,2.2
1880,3.7
1885,3.2
1890,2.0
1895,3.5
1900,2.2
1905,2.9
1910,3.9
1915,3.0
1920,3.4
1925,3.4
1930,2.1
1935,3.3
1940,2.1
1945,2.9
1950,2.9
1955,3.5
1960,2.9
