sekunde,poraba_kw
0,2.0
5,2.5
10,2.9
15,3.3
20,3.3
25,3.9
30,2.6
35,2.5
40,2.5
45,3.3
50,3.0
55,2.3
60,2.1
65,3.7
70,2.2
75,2.3
80,3.4
85,3.4
90,2.6
95,3.8
100,3.7
105,3.9
110,3.1
115,2.1
120,3.5
125,2.8
130,2.9
135,3.5
140,3.2
145,3.6
150,2.1
155,2.4
160,3.4
165,2.0
170,2.5
175,2.1
180,2.9
185,3.9
190,2.2
195,3.4
200,3.4
205,2.6
210,3.9
215,3.6
220,3.3
225,3.4
230,3.6
235,2.0
240,3.9
245,3.4
250,3.0
255,2.4
260,3.0
265,2.8
270,2.8
275,3.6
280,2.8
285,3.3
290,3.9
295,2.9
300,2.2
305,3.4
310,2.2
315,3.8
320,2.7
325,2.5
330,3.5
335,2.0
340,3.6
345,2.6
350,3.3
355,3.5
360,2.8
365,2.8
370,2.6
375,2.9
380,2.2
385,2.3
390,3.9
395,2.6
400,2.6
405,3.4
410,2.8
415,3.6
420,2.1
425,2.8
430,3.9
435,2.2
440,2.7
445,3.6
450,3.7
455,4.0
460,3.3
465,2.8
470,3.5
475,3.3
480,2.5
485,2.8
490,2.7
495,3.9
500,3.5
505,2.2
510,2.4
515,3.6
520,3.8
525,3.4
530,2.1
535,2.8
540,3.8
545,3.1
550,3.7
555,3.3
560,3.0
565,2.1
570,2.3
575,3.1
580,3.7
585,2.5
590,3.4
595,2.7
600,2.4
605,2.6
610,2.7
615,3.6
620,2.1
625,3.7
630,2.4
635,2.4
640,2.4
645,2.5
650,3.6
655,4.0
660,3.4
665,2.5
670,3.7
675,3.4
680,3.6
685,3.0
690,3.3
695,2.9
700,3.3
705,2.3
710,3.6
715,3.0
720,3.6
725,3.1
730,3.1
735,3.2
740,2.9
745,2.5
750,3.6
755,2.9
760,3.5
765,3.8
770,2.9
775,3.9
780,3.7
785,2.0
790,2.6
795,2.2
800,2.0
805,2.6
810,3.1
815,4.0
820,3.7
825,3.9
830,4.0
835,3.1
840,2.8
845,3.6
850,3.0
855,3.4
860,3.6
865,3.4
870,3.3
875,3.2
880,3.6
885,3.1
890,2.9
895,2.2
900,2.7
905,3.7
910,3.8
915,2.9
920,2.7
925,3.0
930,2.3
935,2.7
940,2.2
945,3.8
950,2.4
955,3.5
960,2.5
965,2.6
970,3.0
975,3.6
980,2.1
985,2.7
990,2.4
995,2.1
1000,4.0
1005,3.7
1010,3.1
1015,3.3
1020,2.2
1025,2.6
1030,2.8
1035,4.0
1040,3.5
1045,2.5
1050,3.8
1055,2.2
1060,2.3
1065,2.8
1070,3.3
1075,3.1
1080,3.3
1085,2.7
1090,3.9
1095,2.2
1100,3.1
1105,3.0
1110,4.0
1115,2.4
1120,3.0
1125,2.9
1130,3.0
1135,3.9
1140,3.2
1145,2.2
1150,2.9
1155,2.1
1160,3.0
1165,2.0
1170,2.8
1175,2.7
1180,2.6
1185,2.6
1190,3.1
1195,3.3
1200,2.5
1205,3.6
1210,3.2
1215,3.6
1220,2.4
1225,3.5
1230,3.7
1235,2.4
1240,3.5
1245,2.4
1250,3.1
1255,3.9
1260,2.1
1265,3.7
1270,2.6
1275,3.7
1280,3.3
1285,3.6
1290,3.7
1295,2.3
1300,4.0
1305,3.0
1310,2.9
1315,3.9
1320,2.8
1325,3.9
1330,3.2
1335,3.4
1340,3.5
1345,3.0
1350,4.0
1355,3.8
1360,3.8
1365,3.1
1370,3.7
1375,2.6
1380,2.5
1385,2.3
1390,3.3
1395,3.4
1400,2.6
1405,2.3
1410,3.3
1415,3.2
1420,2.5
1425,2.5
1430,4.0
1435,2.1
1440,2.8
1445,3.7
1450,3.2
1455,3.7
1460,4.0
1465,2.9
1470,2.1
1475,3.3
1480,3.0
1485,3.1
1490,2.1
1495,2.1
1500,2.2
1505,2.4
1510,3.2
1515,3.8
1520,3.8
1525,2.8
1530,2.3
1535,3.2
1540,3.2
1545,3.4
1550,2.7
1555,3.8
1560,2.0
1565,4.0
1570,2.8
1575,2.2
1580,2.9
1585,2.5
1590,2.9
1595,2.9
1600,3.8
1605,3.6
1610,3.1
1615,3.8
1620,2.6
1625,3.2
1630,4.0
1635,3.1
1640,3.1
1645,3.6
1650,2.1
1655,2.6
1660,3.4
1665,3.3
1670,2.7
1675,3.1
1680,3.6
1685,3.2
1690,2.1
1695,2.6
1700,2.2
1705,4.0
1710,2.2
1715,3.0
1720,2.2
1725,3.9
1730,3.6
1735,3.2
1740,2.8
1745,3.3
1750,3.2
1755,2.5
1760,3.0
1765,2.5
1770,3.2
1775,2.6
1780,3.6
1785,3.8
1790,3.9
1795,2.4
1800,2.6
1805,2.2
1810,2.7
1815,3.9
1820,3.4
1825,3.2
1830,3.8
1835,2.8
1840,3.8
1845,3.4
1850,2.5
1855,3.4
1860,3.8
1865,3.2
1870,2.1
1875,3.5
1880,3.0
1885,3.3
1890,2.0
1895,2.9
1900,2.4
1905,3.7
1910,2.3
1915,3.7
1920,2.4
1925,2.7
1930,2.3
1935,3.7
1940,2.2
1945,2.8
1950,2.2
1955,3.7
1960,2.7
1965,3.5
1970,3.7
1975,2.1
1980,3.6
1985,2.2
1990,2.9
1995,3.9
2000,3.0
2005,3.6
2010,2.5
2015,3.4
2020,3.0
2025,3.7
2030,3.6
2035,3.0
2040,2.1
2045,3.1
2050,3.0
2055,3.6
2060,2.7
2065,3.0
2070,3.0
2075,2.2
2080,2.6
2085,3.1
2090,3.9
2095,2.9
2100,2.3
2105,3.6
2110,2.8
2115,3.9
2120,2.6
2125,2.4
2130,3.3
2135,2.7
2140,3.3
2145,2.5
2150,3.6
2155,3.2
2160,2.4
2165,2.9
2170,3.9
2175,2.7
2180,3.5
2185,2.2
2190,3.5
2195,2.7
2200,3.4
2205,3.7
2210,2.7
2215,2.1
2220,2.8
2225,3.9
2230,4.0
2235,3.6
2240,3.9
2245,2.0
2250,3.5
2255,2.6
2260,4.0
2265,2.1
2270,2.1
2275,2.2
2280,3.6
2285,2.0
2290,3.3
2295,2.9
2300,2.7
2305,2.9
2310,2.7
2315,3.9
2320,3.1
2325,2.4
2330,2.8
2335,3.5
2340,3.5
2345,4.0
2350,2.8
2355,2.9
2360,2.2
2365,2.0
2370,3.8
2375,2.5
2380,2.9
2385,2.8
2390,3.4
2395,2.7
2400,2.2
2405,3.5
2410,3.9
2415,2.2
2420,2.3
2425,2.7
2430,3.9
2435,3.4
2440,2.7
2445,2.3
2450,3.9
2455,2.1
2460,2.5
2465,3.4
2470,3.6
2475,3.8
2480,2.3
2485,2.6
2490,3.1
2495,2.6
2500,3.7
2505,3.7
2510,3.4
2515,2.4
2520,3.1
2525,2.8
2530,2.8
2535,2.5
2540,4.0
2545,2.6
2550,3.9
2555,3.3
2560,3.0
2565,3.4
2570,3.4
2575,3.1
2580,2.0
2585,3.0
2590,4.0
2595,2.9
2600,2.7
2605,2.4
2610,2.9
2615,2.1
2620,2.4
2625,3.1
2630,2.9
2635,2.2
2640,2.9
2645,3.7
2650,2.2
2655,3.0
2660,2.9
2665,2.8
2670,2.2
2675,3.5
2680,3.2
2685,2.6
2690,2.5
2695,2.9
2700,2.5
2705,3.4
2710,2.3
2715,3.6
2720,3.2
2725,3.6
2730,2.8
2735,2.1
2740,2.2
2745,3.0
2750,2.9
2755,2.0
2760,2.6
2765,3.7
2770,2.8
2775,3.7
2780,3.7
2785,3.6
2790,2.4
2795,2.6
2800,3.3
2805,3.7
2810,3.2
2815,3.2
2820,3.5
2825,2.3
2830,2.4
2835,3.4
2840,2.5
2845,3.2
2850,2.7
2855,2.8
2860,3.7
2865,3.1
2870,2.8
2875,3.6
2880,2.6
2885,2.1
2890,2.1
2895,3.6
2900,3.4
2905,3.7
2910,3.9
2915,3.5
2920,2.7
2925,2.7
2930,2.4
2935,3.1
2940,3.3
2945,3.4
2950,2.1
2955,2.4
2960,2.5
2965,3.9
2970,2.9
2975,2.3
2980,3.9
2985,2.1
2990,2.8
2995,4.0
3000,3.7
3005,2.8
3010,3.9
3015,3.2
3020,2.7
3025,2.2
3030,3.0
3035,3.9
3040,2.7
3045,2.0
3050,3.6
3055,2.4
3060,3.4
3065,2.1
3070,2.8
3075,3.4
3080,3.8
3085,2.1
3090,3.6
3095,3.2
3100,3.9
3105,2.2
3110,3.1
3115,2.5
3120,3.9
3125,3.2
3130,2.6
3135,3.8
3140,3.4
3145,2.9
3150,2.9
3155,2.9
3160,3.3
3165,2.0
3170,2.1
3175,3.2
3180,2.7
3185,3.0
3190,3.5
3195,2.8
3200,3.4
3205,2.2
3210,3.3
3215,2.5
3220,3.6
3225,2.1
3230,3.2
3235,2.0
3240,2.7
3245,2.6
3250,2.9
3255,3.1
3260,2.7
3265,3.6
3270,3.9
3275,2.9
3280,3.4
3285,3.5
3290,3.3
3295,2.9
3300,3.4
3305,4.0
3310,2.3
3315,2.4
3320,2.1
3325,2.3
3330,3.6
3335,2.9
3340,2.7
3345,3.9
3350,3.5
3355,2.8
3360,2.1
3365,2.4
3370,2.7
3375,2.5
3380,3.5
3385,3.5
3390,2.5
3395,3.5
3400,3.7
3405,3.6
3410,2.3
3415,2.9
3420,2.4
3425,2.3
3430,2.5
3435,3.3
3440,2.9
3445,3.4
3450,3.2
3455,3.6
3460,3.5
3465,2.9
3470,3.8
3475,2.3
3480,3.3
3485,2.8
3490,3.7
3495,2.8
3500,2.9
3505,3.2
3510,2.4
3515,3.8
3520,3.8
3525,3.6
3530,3.3
3535,2.5
3540,3.0
3545,3.4
3550,3.8
3555,2.7
3560,3.1
3565,3.2
3570,4.0
3575,2.5
3580,2.3
3585,2.8
3590,2.5
3595,3.7
3600,2.3
3605,3.6
3610,2.3
3615,3.7
3620,3.4
3625,3.6
3630,2.4
3635,2.7
3640,3.0
3645,2.8
3650,2.1
3655,3.6
3660,3.7
3665,3.6
3670,2.8
3675,2.9
3680,3.9
3685,2.1
3690,3.0
3695,3.7
3700,2.3
3705,2.5
3710,3.0
3715,3.4
3720,3.0
3725,4.0
3730,3.1
3735,3.5
3740,2.3
3745,2.0
3750,2.3
3755,3.0
3760,2.2
3765,2.8
3770,3.3
3775,3.8
3780,3.4
3785,2.6
3790,3.1
3795,3.3
3800,3.6
3805,2.9
3810,3.4
3815,3.1
3820,2.9
3825,2.3
3830,2.0
3835,3.5
3840,2.6
3845,2.3
3850,2.7
3855,2.4
3860,2.3
3865,2.9
3870,2.1
3875,2.3
3880,3.0
3885,3.7
3890,2.1
3895,2.2
3900,2.1
3905,3.9
3910,2.2
3915,3.0
3920,2.8
3925,3.7
3930,2.3
3935,4.0
3940,3.8
3945,3.7
3950,2.8
3955,3.4
3960,2.2
3965,2.7
3970,2.7
3975,2.9
3980,3.9
3985,3.8
3990,3.6
3995,3.8
4000,3.5
4005,3.0
4010,3.9
4015,2.1
4020,3.8
4025,3.4
4030,3.0
4035,2.8
4040,2.9
4045,2.2
4050,3.2
4055,4.0
4060,3.6
4065,2.3
4070,2.0
4075,2.6
4080,2.4
4085,3.1
4090,3.6
4095,3.3
4100,2.4
4105,3.8
4110,3.3
4115,3.0
4120,3.1
4125,3.3
4130,2.6
4135,3.2
4140,2.8
4145,3.1
4150,2.8
4155,3.0
4160,2.5
4165,3.1
4170,2.4
4175,3.5
4180,3.2
4185,2.7
4190,2.1
4195,3.3
4200,2.2
4205,2.5
