sekunde,poraba_kw
0,3.5
5,3.8
10,4.0
15,3.6
20,2.3
25,2.8
30,3.0
35,3.5
40,2.6
45,2.5
50,2.5
55,2.4
60,2.9
65,3.8
70,2.5
75,2.7
80,3.9
85,2.1
90,3.3
95,2.2
100,3.7
105,2.6
110,3.0
115,2.7
120,4.0
125,3.1
130,3.0
135,2.6
140,2.1
145,3.9
150,2.8
155,2.6
160,3.9
165,3.9
170,2.7
175,3.4
180,2.9
185,2.3
190,2.6
195,2.8
200,3.3
205,3.3
210,2.9
215,3.8
220,2.4
225,2.8
230,2.1
235,2.3
240,2.5
245,2.5
250,2.9
255,3.9
260,3.2
265,3.8
270,2.3
275,3.7
280,3.4
285,2.3
290,3.7
295,3.5
300,3.7
305,2.8
310,3.7
315,3.8
320,3.2
325,2.5
330,3.0
335,2.7
340,3.5
345,2.5
350,2.1
355,2.3
360,2.8
365,3.3
370,2.8
375,3.1
380,3.9
385,2.5
390,3.4
395,3.8
400,2.8
405,2.8
410,3.8
415,2.3
420,2.9
425,2.4
430,2.2
435,2.5
440,2.4
445,4.0
450,2.7
455,3.0
460,3.0
465,2.3
470,4.0
475,3.9
480,3.5
485,3.4
490,2.6
495,2.4
500,2.1
505,3.2
510,3.5
515,3.3
520,3.4
525,3.3
530,3.4
535,3.6
540,2.7
545,2.7
550,2.0
555,2.7
560,3.4
565,2.7
570,2.9
575,2.7
580,3.7
585,3.2
590,3.0
595,2.6
600,2.2
605,2.9
610,2.6
615,2.3
620,3.6
625,2.8
630,2.1
635,3.4
640,3.9
645,3.4
650,2.1
655,3.1
660,2.7
665,3.6
670,3.0
675,2.7
680,3.5
685,2.5
690,3.6
695,2.3
700,3.0
705,3.9
710,2.5
715,3.9
720,3.5
725,2.1
730,2.6
735,2.5
740,3.3
745,3.9
750,2.1
755,2.5
760,3.5
765,2.9
770,3.5
775,2.7
780,3.7
785,2.5
790,3.8
795,4.0
800,2.4
805,3.2
810,2.3
815,3.1
820,2.8
825,3.8
830,2.7
835,2.0
840,3.8
845,2.7
850,2.8
855,2.1
860,2.6
865,3.3
870,2.6
875,3.1
880,3.6
885,3.5
890,2.1
895,2.0
900,3.5
905,2.4
910,4.0
915,3.5
920,2.7
925,2.6
930,2.6
935,2.4
940,3.4
945,2.5
950,3.5
955,2.5
960,3.6
965,2.7
970,3.2
975,2.0
980,2.2
985,2.8
990,3.1
995,2.1
1000,3.1
1005,3.3
1010,3.2
1015,2.2
1020,2.3
1025,3.1
1030,2.2
1035,2.2
1040,3.2
1045,2.5
1050,3.0
1055,2.8
1060,2.1
1065,3.3
1070,2.0
1075,3.0
1080,2.7
1085,2.9
1090,2.2
1095,3.3
1100,2.3
1105,3.7
1110,3.2
1115,3.0
1120,2.2
1125,3.8
1130,3.6
1135,2.2
1140,3.9
1145,3.4
1150,4.0
1155,2.5
1160,2.5
1165,4.0
1170,2.9
1175,2.4
1180,2.4
1185,2.3
1190,3.9
1195,3.5
1200,3.4
1205,2.8
1210,2.8
1215,3.7
1220,2.9
1225,2.2
1230,2.9
1235,3.5
1240,2.4
1245,3.9
1250,2.2
1255,2.5
1260,3.1
1265,4.0
1270,3.7
1275,3.3
1280,2.7
1285,3.7
1290,3.1
1295,3.1
1300,2.2
1305,2.8
1310,2.4
1315,3.8
1320,3.6
1325,3.0
1330,3.0
1335,3.8
1340,2.3
1345,3.5
1350,3.7
1355,3.8
1360,3.3
1365,2.5
1370,3.6
1375,3.2
1380,3.1
1385,3.2
1390,3.6
1395,3.3
1400,3.8
1405,2.0
1410,2.2
1415,3.6
1420,2.4
1425,2.5
1430,2.6
1435,3.5
1440,2.8
1445,2.2
1450,2.2
1455,3.1
1460,2.9
1465,2.8
1470,2.1
1475,2.7
1480,3.5
1485,2.6
1490,3.5
1495,3.9
1500,2.8
1505,3.0
1510,3.6
1515,3.4
1520,2.5
1525,3.5
1530,3.4
1535,2.8
1540,3.2
1545,2.3
1550,2.7
1555,2.1
1560,3.3
1565,3.7
1570,3.4
1575,3.7
1580,3.5
1585,2.7
1590,2.2
1595,3.3
1600,2.3
1605,3.9
1610,2.7
1615,3.5
1620,2.9
1625,3.4
1630,2.0
1635,3.6
1640,2.6
1645,4.0
1650,2.3
1655,2.7
1660,3.1
1665,3.3
