sekunde,poraba_kw
0,2.4
5,3.7
10,4.0
15,3.3
20,4.0
25,3.6
30,2.2
35,2.5
40,3.1
45,3.2
50,2.4
55,2.8
60,3.4
65,2.5
70,2.3
75,3.8
80,3.0
85,3.9
90,2.7
95,3.3
100,3.8
105,3.9
110,3.4
115,2.9
120,2.4
125,2.2
130,3.4
135,3.7
140,2.2
145,3.1
150,3.1
155,3.6
160,2.6
165,3.6
170,3.2
175,3.6
180,3.7
185,2.6
190,3.1
195,3.1
200,3.3
205,3.6
210,3.6
215,4.0
220,3.7
225,3.1
230,2.7
235,3.7
240,3.5
245,2.1
250,2.4
255,2.9
260,2.3
265,3.9
270,3.6
275,2.8
280,3.9
285,3.0
290,2.8
295,3.4
300,3.3
305,2.6
310,2.6
315,3.3
320,3.8
325,3.4
330,2.4
335,2.5
340,3.1
345,3.5
350,3.2
355,3.3
360,2.2
365,2.3
370,3.2
375,3.6
380,2.8
385,3.9
390,2.6
395,2.7
400,2.0
405,3.6
410,3.0
415,3.1
420,2.9
425,2.1
430,3.1
435,2.2
440,3.0
445,3.4
450,2.6
455,3.6
460,2.2
465,3.5
470,3.0
475,2.7
480,2.5
485,3.3
490,3.5
495,2.1
500,3.2
505,2.0
510,2.8
515,2.8
520,2.3
525,2.6
530,2.0
535,2.6
540,2.1
545,3.2
550,2.6
555,4.0
560,2.4
565,3.3
570,3.3
575,2.6
580,3.3
585,2.4
590,2.2
595,2.8
600,3.4
605,3.5
610,2.1
615,3.3
620,3.4
625,2.6
630,3.6
635,2.4
640,2.8
645,2.3
650,3.0
655,2.9
660,2.3
665,2.7
670,3.3
675,3.0
680,2.6
685,3.4
690,2.7
695,3.3
700,2.8
705,2.7
710,2.5
715,2.1
720,3.7
725,3.4
730,3.4
735,2.4
740,2.4
745,3.0
750,2.7
755,2.4
760,3.7
765,2.8
770,3.5
775,3.1
780,2.8
785,2.0
790,3.0
795,2.1
800,2.0
805,3.4
810,3.5
815,2.7
820,2.3
825,3.0
830,2.5
835,3.6
840,3.1
845,3.7
850,3.6
855,3.4
860,3.5
865,3.9
870,2.0
875,2.5
880,3.6
885,3.2
890,3.7
895,2.7
900,2.0
905,3.2
910,2.4
915,3.1
920,3.6
925,2.5
930,3.2
935,2.6
940,3.2
945,2.9
950,3.7
955,3.4
960,4.0
965,2.7
970,3.1
975,2.8
980,2.8
985,2.4
990,2.2
995,3.1
1000,3.7
1005,2.4
1010,2.8
1015,3.1
1020,2.2
1025,3.4
1030,3.8
1035,3.4
1040,2.4
1045,3.7
1050,2.7
1055,3.1
1060,3.7
1065,2.7
1070,3.1
1075,3.1
1080,3.2
1085,2.6
1090,3.0
1095,2.2
1100,3.5
1105,3.9
1110,3.3
1115,3.5
1120,3.2
1125,2.4
1130,2.3
1135,2.5
1140,2.5
1145,3.4
1150,2.5
1155,3.1
1160,2.8
1165,3.4
1170,2.1
1175,3.9
1180,2.6
1185,3.3
1190,3.4
1195,2.4
1200,2.8
1205,2.2
1210,3.2
1215,3.0
1220,2.4
1225,2.5
1230,2.3
1235,2.5
1240,3.5
1245,2.9
1250,2.3
1255,3.0
1260,3.1
1265,2.2
1270,3.0
1275,2.1
1280,3.5
1285,3.7
1290,2.0
1295,3.1
1300,2.3
1305,2.9
1310,4.0
1315,2.5
1320,3.6
1325,2.5
1330,3.8
1335,2.9
1340,2.7
1345,3.2
1350,4.0
1355,3.5
1360,3.5
1365,3.9
1370,2.9
1375,3.6
1380,2.9
1385,3.1
1390,2.3
1395,2.0
1400,2.6
1405,3.5
1410,2.7
1415,3.1
1420,3.2
1425,2.4
1430,3.1
1435,2.8
1440,3.0
1445,3.9
1450,2.2
1455,2.6
1460,2.5
1465,3.3
1470,3.9
1475,3.8
1480,3.5
1485,2.7
1490,2.7
1495,2.1
1500,2.5
1505,2.9
1510,2.3
1515,2.4
1520,2.0
1525,2.7
1530,2.1
1535,3.1
1540,2.7
1545,2.8
1550,3.9
1555,2.1
1560,3.9
1565,3.6
1570,3.1
1575,3.8
1580,3.1
1585,2.5
1590,2.3
1595,2.4
1600,2.1
1605,2.4
1610,2.8
1615,2.9
1620,3.1
1625,2.6
1630,2.7
1635,3.9
1640,2.8
1645,3.1
1650,2.3
1655,2.8
1660,3.4
1665,3.8
1670,3.7
1675,2.1
1680,3.9
1685,2.9
1690,2.3
1695,3.7
1700,3.6
1705,3.5
1710,2.6
1715,2.8
1720,3.4
1725,2.4
1730,2.1
1735,2.1
1740,2.2
1745,2.2
1750,2.2
1755,2.0
1760,3.6
1765,3.6
1770,2.8
1775,3.5
1780,2.2
1785,2.9
1790,3.7
1795,3.3
1800,3.7
1805,2.9
1810,2.1
1815,3.1
1820,3.3
1825,3.0
1830,3.3
1835,2.2
1840,2.6
1845,3.3
1850,2.4
1855,2.9
1860,2.4
1865,3.6
1870,2.2
1875,3.9
1880,2.3
1885,2.6
1890,3.6
1895,3.7
1900,3.0
1905,3.1
1910,3.6
1915,3.0
1920,2.4
1925,3.2
1930,3.0
1935,3.0
1940,2.5
1945,3.4
1950,3.1
1955,3.8
1960,2.5
1965,3.3
1970,2.2
1975,3.3
1980,3.1
1985,2.5
1990,3.6
1995,2.2
2000,3.8
2005,2.3
2010,3.7
2015,3.4
2020,3.4
2025,2.3
2030,2.9
2035,2.9
2040,3.4
2045,2.1
2050,2.5
2055,2.2
2060,3.0
2065,3.0
2070,2.8
2075,3.0
2080,3.1
2085,3.7
2090,3.9
2095,3.3
2100,3.8
2105,3.8
2110,3.1
2115,2.5
2120,3.2
2125,2.1
2130,3.0
2135,2.3
2140,2.6
2145,3.1
2150,2.3
2155,3.5
2160,2.4
2165,3.0
2170,3.5
2175,2.1
2180,2.6
2185,3.3
2190,3.9
2195,2.5
2200,2.4
2205,3.7
2210,3.9
2215,3.4
2220,3.5
2225,2.1
2230,3.0
2235,2.5
2240,3.8
2245,2.8
2250,3.4
2255,3.5
2260,3.6
2265,2.7
2270,2.1
2275,2.7
2280,2.3
2285,2.7
2290,3.3
2295,3.0
2300,3.3
2305,3.5
2310,2.2
2315,2.8
2320,3.9
2325,2.1
2330,3.1
2335,3.6
2340,3.9
2345,2.5
2350,2.3
2355,3.4
2360,3.0
2365,2.8
2370,3.6
2375,3.3
2380,2.9
2385,3.0
2390,2.6
2395,3.1
2400,2.5
2405,3.3
2410,2.3
2415,2.7
2420,3.9
2425,2.1
2430,2.3
2435,3.2
2440,2.3
2445,2.1
2450,3.9
2455,3.5
2460,2.9
2465,2.1
2470,4.0
2475,3.1
2480,2.7
2485,3.4
2490,2.5
2495,2.6
2500,2.5
2505,2.5
2510,2.6
2515,2.0
2520,2.3
2525,2.6
2530,2.2
2535,2.3
2540,3.5
2545,3.5
2550,2.6
2555,3.5
2560,3.9
2565,3.8
2570,2.7
2575,2.6
2580,2.8
2585,2.2
2590,3.1
2595,2.2
2600,2.1
2605,2.4
2610,2.0
2615,2.5
2620,3.7
2625,3.4
2630,2.6
2635,3.4
2640,3.6
2645,3.6
2650,2.1
2655,2.5
2660,2.3
2665,2.8
2670,3.7
2675,3.3
2680,2.7
2685,2.9
2690,2.0
2695,3.7
2700,2.5
2705,2.3
2710,2.9
2715,2.0
2720,2.7
2725,2.4
2730,3.1
2735,3.2
2740,2.6
2745,3.5
2750,3.3
2755,3.3
2760,2.7
2765,3.9
2770,3.2
2775,2.6
2780,3.6
2785,2.4
2790,2.8
2795,2.1
2800,4.0
2805,2.8
2810,2.2
2815,2.7
2820,3.1
2825,3.6
2830,2.6
2835,3.3
2840,2.2
2845,3.2
2850,3.2
2855,2.1
2860,2.4
2865,2.4
2870,3.1
2875,3.1
2880,3.7
2885,3.7
2890,2.2
2895,2.7
2900,2.9
2905,2.8
2910,2.7
2915,3.5
2920,2.2
2925,3.1
2930,2.5
2935,2.6
2940,3.2
2945,2.7
2950,3.6
2955,3.2
2960,3.3
2965,2.9
2970,3.2
2975,2.1
2980,2.9
2985,3.9
2990,3.5
2995,3.4
3000,3.4
3005,2.8
3010,2.1
3015,2.8
3020,3.7
3025,2.3
3030,3.4
3035,3.1
3040,3.2
3045,3.8
3050,3.3
3055,3.2
3060,3.1
3065,3.7
3070,2.2
3075,2.6
3080,2.7
3085,3.3
3090,3.0
3095,3.4
3100,2.5
3105,2.4
3110,2.0
3115,3.2
3120,2.1
3125,3.7
3130,2.4
3135,2.0
3140,3.2
3145,2.2
3150,3.5
3155,3.0
3160,2.9
3165,2.8
3170,3.3
3175,3.2
3180,3.7
3185,3.1
3190,2.3
3195,3.6
3200,3.0
3205,2.7
3210,2.3
3215,2.4
3220,3.4
3225,4.0
3230,3.9
3235,2.5
3240,3.5
3245,3.7
3250,3.8
3255,2.6
3260,3.4
3265,3.7
3270,2.5
3275,2.8
3280,2.7
3285,3.4
3290,2.1
3295,2.8
3300,2.1
3305,3.0
3310,3.9
3315,2.1
3320,2.4
3325,2.2
3330,3.8
3335,3.9
3340,3.1
3345,3.9
3350,2.9
3355,3.6
3360,2.4
3365,2.7
3370,3.8
3375,3.7
3380,3.4
3385,3.1
3390,2.3
3395,2.8
3400,2.2
3405,2.4
3410,2.4
3415,2.5
3420,3.2
3425,2.6
3430,2.1
3435,2.3
3440,3.2
3445,2.1
3450,2.5
3455,3.4
3460,2.8
3465,3.2
3470,3.0
3475,3.2
3480,3.0
3485,3.6
3490,2.3
3495,2.1
3500,3.2
3505,2.3
3510,2.7
3515,3.1
3520,3.2
3525,2.2
3530,3.3
3535,2.8
3540,3.5
3545,3.7
3550,2.2
3555,2.9
3560,2.7
3565,3.1
3570,3.2
3575,2.2
3580,3.5
3585,2.6
3590,2.3
3595,2.3
3600,3.7
3605,4.0
3610,3.7
3615,3.0
3620,3.8
3625,2.9
3630,2.1
3635,2.9
3640,2.5
3645,2.1
3650,3.3
3655,3.2
3660,3.7
3665,2.0
3670,3.6
3675,3.6
3680,2.5
3685,3.4
3690,2.8
3695,2.5
3700,3.4
3705,3.5
3710,3.2
3715,3.8
3720,4.0
3725,3.6
3730,2.5
3735,2.4
3740,3.4
3745,2.6
3750,3.1
3755,4.0
3760,3.9
3765,2.6
3770,3.4
3775,2.2
3780,3.9
3785,2.8
3790,3.7
3795,3.5
3800,2.3
3805,3.7
3810,2.2
3815,3.1
3820,3.9
3825,2.2
3830,3.4
3835,2.6
3840,2.2
3845,2.5
3850,2.1
3855,3.7
3860,2.7
3865,3.5
3870,3.7
3875,2.1
3880,2.9
3885,3.6
3890,2.3
3895,3.5
3900,2.4
3905,2.7
3910,2.3
3915,2.8
3920,3.2
3925,3.9
3930,3.4
3935,2.3
3940,2.3
3945,2.9
3950,2.3
3955,2.7
3960,3.1
3965,3.4
3970,3.4
3975,3.0
3980,38.5
3985,38.5
3990,38.5
3995,38.8
4000,39.1
4005,39.1
4010,39.8
4015,40.3
4020,39.1
4025,40.0
4030,39.4
4035,39.5
4040,38.4
4045,39.6
4050,39.6
4055,39.7
4060,38.6
4065,38.5
4070,40.0
4075,38.9
4080,40.3
4085,38.6
4090,40.2
4095,39.1
4100,38.6
4105,39.3
4110,39.3
4115,39.5
4120,39.2
4125,40.4
4130,38.8
4135,39.3
4140,39.2
4145,38.9
4150,39.7
4155,39.2
4160,39.5
4165,38.4
4170,39.0
4175,39.2
4180,38.6
4185,39.8
4190,39.4
4195,40.4
4200,39.0
4205,40.0
4210,38.9
4215,39.0
4220,40.4
4225,40.1
4230,38.8
4235,39.2
4240,40.1
4245,38.7
4250,39.5
4255,39.6
4260,40.1
4265,39.3
4270,38.9
4275,38.9
4280,40.3
4285,38.6
4290,38.8
4295,40.3
4300,39.6
4305,38.9
4310,38.8
4315,39.1
4320,39.7
4325,38.5
4330,39.8
4335,39.4
4340,39.2
4345,40.0
4350,39.2
4355,40.2
4360,38.8
4365,40.2
4370,39.1
4375,39.3
4380,38.8
