sekunde,poraba_kw
0,4.0
5,2.6
10,3.9
15,3.2
20,2.6
25,3.0
30,2.4
35,2.4
40,2.2
45,2.6
50,2.6
55,2.2
60,3.6
65,3.0
70,2.4
75,2.2
80,3.5
85,3.7
90,3.6
95,2.7
100,3.8
105,2.8
110,3.7
115,2.5
120,3.8
125,3.9
130,2.6
135,3.1
140,2.7
145,2.7
150,2.6
155,3.1
160,2.6
165,2.8
170,2.2
175,2.5
180,2.3
185,3.5
190,3.6
195,3.4
200,2.8
205,2.1
210,2.8
215,3.0
220,2.7
225,2.0
230,2.6
235,3.7
240,3.9
245,2.6
250,3.4
255,2.3
260,3.6
265,2.7
270,3.0
275,2.8
280,3.7
285,2.6
290,3.2
295,2.7
300,3.8
305,3.3
310,3.5
315,4.0
320,3.2
325,2.2
330,3.2
335,3.1
340,3.5
345,3.4
350,3.3
355,3.4
360,2.2
365,2.4
370,3.9
375,3.8
380,3.3
385,2.7
390,2.8
395,3.5
400,2.3
405,3.9
410,2.3
415,2.5
420,2.3
425,2.6
430,2.9
435,3.1
440,2.8
445,3.4
450,2.3
455,2.8
460,4.0
465,2.6
470,3.5
475,2.5
480,2.8
485,3.2
490,2.9
495,3.7
500,2.1
505,3.1
510,2.0
515,3.4
520,3.0
525,3.6
530,2.3
535,2.2
540,3.8
545,3.0
550,2.2
555,3.7
560,3.9
565,3.8
570,2.5
575,2.3
580,2.6
585,3.5
590,2.3
595,2.5
600,2.0
605,3.1
610,3.7
615,3.8
620,3.0
625,3.7
630,2.6
635,2.5
640,2.5
645,2.2
650,2.8
655,3.8
660,2.8
665,3.7
670,2.8
675,2.4
680,3.7
685,3.2
690,3.3
695,2.4
700,2.9
705,2.7
710,2.5
715,2.9
720,2.2
725,2.2
730,2.3
735,3.9
740,2.6
745,2.9
750,3.3
755,2.8
760,2.3
765,2.8
770,3.6
775,3.6
780,2.8
785,2.4
790,2.6
795,3.4
800,3.3
805,2.6
810,3.3
815,2.4
820,2.1
825,2.6
830,2.9
835,2.1
840,2.6
845,3.8
850,2.1
855,2.2
860,2.9
865,3.9
870,2.1
875,2.9
880,2.6
885,3.8
890,3.5
895,2.4
900,3.4
905,2.6
910,2.9
915,3.7
920,4.0
925,2.4
930,2.2
935,2.6
940,2.5
945,3.2
950,3.8
955,3.5
960,2.9
965,2.1
970,3.0
975,3.2
980,2.1
985,3.7
990,3.4
995,2.0
1000,4.0
1005,4.0
1010,2.2
1015,3.7
1020,4.0
1025,3.4
1030,2.4
1035,2.9
1040,3.3
1045,2.8
1050,3.5
1055,3.8
1060,3.5
1065,2.9
1070,3.4
1075,3.3
1080,3.2
1085,3.9
1090,3.6
1095,3.5
1100,3.6
1105,3.0
1110,2.4
1115,2.9
1120,3.6
1125,2.1
1130,2.8
1135,3.7
1140,3.5
1145,2.4
1150,2.5
1155,2.6
1160,2.3
1165,2.0
1170,3.1
1175,3.2
1180,2.6
1185,2.6
1190,3.5
1195,3.3
1200,3.7
1205,3.4
1210,3.1
1215,2.2
1220,3.7
1225,2.2
1230,3.5
1235,3.7
1240,2.7
1245,2.7
1250,2.6
1255,3.8
1260,2.8
1265,3.9
1270,2.6
1275,2.3
1280,3.7
1285,2.0
1290,3.5
1295,3.3
1300,2.4
1305,3.5
1310,2.9
1315,2.4
1320,2.1
1325,3.3
1330,2.3
1335,3.5
1340,2.6
1345,2.7
1350,2.9
1355,2.2
1360,3.9
1365,2.0
1370,2.2
1375,3.7
1380,2.9
1385,3.8
1390,2.6
1395,3.5
1400,3.8
1405,2.4
1410,3.0
1415,3.1
1420,2.8
1425,2.0
1430,3.8
1435,2.0
1440,2.4
