sekunde,poraba_kw
0,2.5
5,2.3
10,2.2
15,3.4
20,2.2
25,3.3
30,3.2
35,2.8
40,2.7
45,3.9
50,3.9
55,2.3
60,3.5
65,2.1
70,3.2
75,3.2
80,2.6
85,3.0
90,2.2
95,2.8
100,3.1
105,3.9
110,2.2
115,3.8
120,2.5
125,2.8
130,2.0
135,3.3
140,3.4
145,2.2
150,2.1
155,3.7
160,2.8
165,4.0
170,3.7
175,2.4
180,2.4
185,2.4
190,3.3
195,3.0
200,2.9
205,2.2
210,2.7
215,2.9
220,3.0
225,3.6
230,3.7
235,2.7
240,2.5
245,3.4
250,3.5
255,2.4
260,3.1
265,2.6
270,2.3
275,3.2
280,3.5
285,3.1
290,3.8
295,3.1
300,3.9
305,2.9
310,2.5
315,2.3
320,3.0
325,2.0
330,2.9
335,3.6
340,3.1
345,3.2
350,3.9
355,2.6
360,2.8
365,3.5
370,3.8
375,2.2
380,2.7
385,3.8
390,3.8
395,3.2
400,3.6
405,3.1
410,3.5
415,3.0
420,3.3
425,2.5
430,3.5
435,2.2
440,2.1
445,3.7
450,2.3
455,2.5
460,2.4
465,3.4
470,3.3
475,2.6
480,2.5
485,4.0
490,3.7
495,2.8
500,2.4
505,2.4
510,3.1
515,2.9
520,2.3
525,3.4
530,2.5
535,2.8
540,2.3
545,3.1
550,2.5
555,2.9
560,2.9
565,2.9
570,2.5
575,3.1
580,4.0
585,3.2
590,3.7
595,3.4
600,2.3
605,2.1
610,4.0
615,3.5
620,2.8
625,3.7
630,3.5
635,3.2
640,3.3
645,3.8
650,2.2
655,2.1
660,3.4
665,3.7
670,3.0
675,2.6
680,2.3
685,2.5
690,3.3
695,2.3
700,3.8
705,3.0
710,2.5
715,3.2
720,3.4
725,2.1
730,2.0
735,2.1
740,3.7
745,3.9
750,2.6
755,2.9
760,3.6
765,3.8
770,3.0
775,3.5
780,3.0
785,2.9
790,2.5
795,3.3
800,3.3
805,3.4
810,2.6
815,3.5
820,2.8
825,3.2
830,2.5
835,3.7
840,3.5
845,3.9
850,3.0
855,2.1
860,2.8
865,2.7
870,3.8
875,2.7
880,3.3
885,2.1
890,3.9
895,3.8
900,3.3
905,2.8
910,2.8
915,2.8
920,2.4
925,3.1
930,2.3
935,2.0
940,3.7
945,2.0
950,2.3
955,3.6
960,3.8
965,2.2
970,2.3
975,2.8
980,2.5
985,2.0
990,2.3
995,2.6
1000,3.3
1005,3.8
1010,3.4
1015,3.7
1020,2.1
1025,2.1
1030,2.4
1035,2.5
1040,2.8
1045,2.7
1050,2.6
1055,3.4
1060,2.6
1065,2.2
1070,2.5
1075,3.4
1080,2.7
1085,3.3
1090,2.9
1095,2.4
1100,3.2
1105,3.2
1110,2.8
1115,4.0
1120,2.5
1125,3.1
1130,2.5
1135,3.1
1140,3.6
1145,3.8
1150,2.6
1155,2.8
1160,2.2
1165,2.3
1170,3.8
1175,3.5
1180,3.7
1185,2.8
1190,3.3
1195,2.9
1200,2.6
1205,3.9
1210,2.7
1215,2.7
1220,3.7
1225,4.0
1230,2.4
1235,2.5
1240,2.2
1245,3.7
1250,2.2
1255,3.4
1260,2.7
1265,3.8
1270,3.6
1275,3.9
1280,2.7
1285,3.1
1290,2.2
1295,2.2
1300,3.4
1305,3.1
1310,3.3
1315,2.0
1320,2.2
1325,3.4
1330,3.9
1335,2.9
1340,3.2
1345,2.7
1350,2.3
1355,2.0
1360,2.5
1365,3.9
1370,3.7
1375,3.1
1380,3.3
1385,2.8
1390,2.1
1395,2.9
1400,3.2
1405,2.7
1410,3.7
1415,2.9
1420,2.0
1425,2.6
1430,2.6
1435,3.7
1440,2.7
1445,3.3
1450,2.0
1455,3.9
1460,3.7
1465,2.7
1470,3.0
1475,3.1
1480,3.8
1485,2.4
1490,2.2
1495,2.9
1500,3.7
1505,2.3
1510,3.0
1515,3.2
1520,3.3
1525,3.1
1530,2.3
1535,3.5
1540,2.5
1545,3.9
1550,3.8
1555,3.3
1560,3.4
1565,2.5
1570,3.6
1575,2.5
1580,2.2
1585,3.7
1590,3.1
1595,2.2
1600,2.4
1605,2.4
1610,3.6
1615,3.3
1620,3.9
1625,3.7
1630,2.8
1635,3.1
1640,3.0
1645,2.4
1650,2.7
1655,3.5
1660,3.5
1665,2.3
1670,2.8
1675,2.9
1680,2.1
1685,3.2
1690,3.9
1695,2.2
1700,2.9
1705,2.5
1710,3.6
1715,3.4
1720,2.9
1725,3.8
1730,3.5
1735,2.4
1740,2.5
1745,3.0
1750,3.0
1755,3.2
1760,3.2
1765,2.9
1770,3.9
1775,3.7
1780,3.7
1785,3.9
1790,3.9
1795,3.7
1800,3.9
1805,3.5
1810,2.2
1815,2.6
